step,seen_tokens,time_delta_s,run_name,local_window,global_window,mem_freq,lr_mult,train_loss,val_loss
5,499995,123.13475728034973,char_lm/baseline_rope10k,1024,100000,100000,0.006,4.805824677149455,
10,999990,10.482228517532349,char_lm/baseline_rope10k,1024,100000,100000,0.011,4.407496643066406,
15,1499985,8.451128482818604,char_lm/baseline_rope10k,1024,100000,100000,0.016,3.8171709537506104,
20,1999980,8.432843685150146,char_lm/baseline_rope10k,1024,100000,100000,0.021,3.3505796909332277,
25,2499975,7.674697637557983,char_lm/baseline_rope10k,1024,100000,100000,0.026,3.2205970287323,
30,2999970,9.073009967803955,char_lm/baseline_rope10k,1024,100000,100000,0.031,3.341126251220703,
35,3499965,7.6773340702056885,char_lm/baseline_rope10k,1024,100000,100000,0.036,3.1066299438476563,
40,3999960,7.008897066116333,char_lm/baseline_rope10k,1024,100000,100000,0.041,2.9975096702575685,
45,4499955,8.427756309509277,char_lm/baseline_rope10k,1024,100000,100000,0.046,2.924007701873779,
50,4999950,23.507590770721436,char_lm/baseline_rope10k,1024,100000,100000,0.051,,2.821996283531189
50,4999950,31.38864517211914,char_lm/baseline_rope10k,1024,100000,100000,0.051,2.828722429275513,
55,5499945,7.70185923576355,char_lm/baseline_rope10k,1024,100000,100000,0.056,2.843887948989868,
60,5999940,7.7456440925598145,char_lm/baseline_rope10k,1024,100000,100000,0.061,2.749505567550659,
65,6499935,7.028936147689819,char_lm/baseline_rope10k,1024,100000,100000,0.066,2.6982553482055662,
70,6999930,7.2121734619140625,char_lm/baseline_rope10k,1024,100000,100000,0.071,2.709247875213623,
75,7499925,7.08202600479126,char_lm/baseline_rope10k,1024,100000,100000,0.076,2.7344446659088133,
80,7999920,8.452322483062744,char_lm/baseline_rope10k,1024,100000,100000,0.081,2.6645558357238768,
85,8499915,7.01534628868103,char_lm/baseline_rope10k,1024,100000,100000,0.086,2.5608190059661866,
90,8999910,7.043997049331665,char_lm/baseline_rope10k,1024,100000,100000,0.091,2.5442527770996093,
95,9499905,7.017572402954102,char_lm/baseline_rope10k,1024,100000,100000,0.096,2.4776399612426756,
100,9999900,3.2352817058563232,char_lm/baseline_rope10k,1024,100000,100000,0.101,,2.447353959083557
100,9999900,11.090452432632446,char_lm/baseline_rope10k,1024,100000,100000,0.101,2.4173507690429688,
105,10499895,35.338576555252075,char_lm/baseline_rope10k,1024,100000,100000,0.106,2.4223108768463133,
