step,seen_tokens,time_delta_s,run_name,local_window,global_window,mem_freq,lr_mult,train_loss,val_loss
5,499995,131.81141471862793,char_lm/baseline_rope1m,1024,100000,100000,0.006,4.806081056594849,
10,999990,10.540477991104126,char_lm/baseline_rope1m,1024,100000,100000,0.011,4.408380031585693,
15,1499985,8.425122499465942,char_lm/baseline_rope1m,1024,100000,100000,0.016,3.818902778625488,
20,1999980,8.411962985992432,char_lm/baseline_rope1m,1024,100000,100000,0.021,3.351598596572876,
25,2499975,7.693095445632935,char_lm/baseline_rope1m,1024,100000,100000,0.026,3.220483732223511,
30,2999970,9.053067684173584,char_lm/baseline_rope1m,1024,100000,100000,0.031,3.339744281768799,
35,3499965,8.92360544204712,char_lm/baseline_rope1m,1024,100000,100000,0.036,3.101197052001953,
40,3999960,7.0019848346710205,char_lm/baseline_rope1m,1024,100000,100000,0.041,2.980086898803711,
45,4499955,8.448176383972168,char_lm/baseline_rope1m,1024,100000,100000,0.046,2.879116249084473,
50,4999950,23.36118793487549,char_lm/baseline_rope1m,1024,100000,100000,0.051,,2.804311990737915
50,4999950,31.251875162124634,char_lm/baseline_rope1m,1024,100000,100000,0.051,2.803676986694336,
55,5499945,7.758249759674072,char_lm/baseline_rope1m,1024,100000,100000,0.056,2.824708843231201,
60,5999940,7.798627853393555,char_lm/baseline_rope1m,1024,100000,100000,0.061,2.744145631790161,
65,6499935,7.057121276855469,char_lm/baseline_rope1m,1024,100000,100000,0.066,2.6988036155700685,
70,6999930,7.260655641555786,char_lm/baseline_rope1m,1024,100000,100000,0.071,2.7092456817626953,
75,7499925,7.111847639083862,char_lm/baseline_rope1m,1024,100000,100000,0.076,2.7482958793640138,
80,7999920,8.472644805908203,char_lm/baseline_rope1m,1024,100000,100000,0.081,2.6915519714355467,
85,8499915,7.034796714782715,char_lm/baseline_rope1m,1024,100000,100000,0.086,2.6227019309997557,
90,8999910,7.082410097122192,char_lm/baseline_rope1m,1024,100000,100000,0.091,2.6236650466918947,
95,9499905,7.048996210098267,char_lm/baseline_rope1m,1024,100000,100000,0.096,2.575362539291382,
100,9999900,3.230963706970215,char_lm/baseline_rope1m,1024,100000,100000,0.101,,2.551038217544556
100,9999900,11.104577779769897,char_lm/baseline_rope1m,1024,100000,100000,0.101,2.5096428394317627,
105,10499895,8.606050729751587,char_lm/baseline_rope1m,1024,100000,100000,0.106,2.5069602966308593,
110,10999890,7.199006080627441,char_lm/baseline_rope1m,1024,100000,100000,0.111,2.4532095909118654,
115,11499885,7.0666117668151855,char_lm/baseline_rope1m,1024,100000,100000,0.116,2.4433468341827393,
120,11999880,7.119280099868774,char_lm/baseline_rope1m,1024,100000,100000,0.121,2.4253549098968508,
125,12499875,7.129108190536499,char_lm/baseline_rope1m,1024,100000,100000,0.126,2.4065252780914306,
130,12999870,7.1148011684417725,char_lm/baseline_rope1m,1024,100000,100000,0.131,2.378813552856445,
135,13499865,7.007360219955444,char_lm/baseline_rope1m,1024,100000,100000,0.136,2.344239044189453,
140,13999860,7.109160423278809,char_lm/baseline_rope1m,1024,100000,100000,0.141,2.3348763942718507,
145,14499855,7.075247526168823,char_lm/baseline_rope1m,1024,100000,100000,0.146,2.301650857925415,
150,14999850,3.2440898418426514,char_lm/baseline_rope1m,1024,100000,100000,0.151,,2.23794105052948
150,14999850,11.03740668296814,char_lm/baseline_rope1m,1024,100000,100000,0.151,2.2130789756774902,
155,15499845,7.04469108581543,char_lm/baseline_rope1m,1024,100000,100000,0.156,2.2216179847717283,
160,15999840,7.07895040512085,char_lm/baseline_rope1m,1024,100000,100000,0.161,2.1507569789886474,
165,16499835,7.076276063919067,char_lm/baseline_rope1m,1024,100000,100000,0.166,2.1764423847198486,
170,16999830,7.696167230606079,char_lm/baseline_rope1m,1024,100000,100000,0.171,2.143175792694092,
175,17499825,7.101928472518921,char_lm/baseline_rope1m,1024,100000,100000,0.176,2.1017918586730957,
180,17999820,7.061781167984009,char_lm/baseline_rope1m,1024,100000,100000,0.181,2.094353199005127,
185,18499815,7.070065975189209,char_lm/baseline_rope1m,1024,100000,100000,0.186,2.1209423542022705,
190,18999810,7.101001739501953,char_lm/baseline_rope1m,1024,100000,100000,0.191,2.13604850769043,
195,19499805,7.063002347946167,char_lm/baseline_rope1m,1024,100000,100000,0.196,2.0550734996795654,
200,19999800,3.238304615020752,char_lm/baseline_rope1m,1024,100000,100000,0.201,,2.029119086265564
200,19999800,10.319013357162476,char_lm/baseline_rope1m,1024,100000,100000,0.201,2.06383056640625,
205,20499795,7.065234899520874,char_lm/baseline_rope1m,1024,100000,100000,0.206,1.9918344020843506,
210,20999790,7.179427146911621,char_lm/baseline_rope1m,1024,100000,100000,0.211,1.9728132247924806,
215,21499785,7.135267019271851,char_lm/baseline_rope1m,1024,100000,100000,0.216,1.9256304502487183,
220,21999780,7.643747568130493,char_lm/baseline_rope1m,1024,100000,100000,0.221,2.0041733503341677,
225,22499775,7.04127049446106,char_lm/baseline_rope1m,1024,100000,100000,0.226,1.9546667337417603,
230,22999770,7.056966066360474,char_lm/baseline_rope1m,1024,100000,100000,0.231,1.9646215200424195,
235,23499765,7.1362810134887695,char_lm/baseline_rope1m,1024,100000,100000,0.236,1.8558210611343384,
240,23999760,7.007553577423096,char_lm/baseline_rope1m,1024,100000,100000,0.241,1.9132622480392456,
245,24499755,7.070059299468994,char_lm/baseline_rope1m,1024,100000,100000,0.246,1.8780283689498902,
250,24999750,3.229659080505371,char_lm/baseline_rope1m,1024,100000,100000,0.251,,1.8735995888710022
250,24999750,10.366858005523682,char_lm/baseline_rope1m,1024,100000,100000,0.251,1.8357563495635987,
255,25499745,7.038497447967529,char_lm/baseline_rope1m,1024,100000,100000,0.256,1.8221945762634277,
260,25999740,7.051433801651001,char_lm/baseline_rope1m,1024,100000,100000,0.261,1.8165690898895264,
265,26499735,7.005326747894287,char_lm/baseline_rope1m,1024,100000,100000,0.266,1.8210684299468993,
270,26999730,7.062381982803345,char_lm/baseline_rope1m,1024,100000,100000,0.271,1.7629276037216186,
275,27499725,7.034661769866943,char_lm/baseline_rope1m,1024,100000,100000,0.276,1.7256365060806274,
280,27999720,7.088457822799683,char_lm/baseline_rope1m,1024,100000,100000,0.281,1.781466817855835,
