step,seen_tokens,time_delta_s,run_name,local_window,global_window,mem_freq,lr_mult,train_loss,val_loss
5,499995,121.68941712379456,char_lm/baseline_rope500,1024,100000,100000,0.006,4.805097659428914,
10,999990,10.497734069824219,char_lm/baseline_rope500,1024,100000,100000,0.011,4.4053850173950195,
15,1499985,8.456203937530518,char_lm/baseline_rope500,1024,100000,100000,0.016,3.8160809516906737,
20,1999980,8.471957445144653,char_lm/baseline_rope500,1024,100000,100000,0.021,3.3501805305480956,
25,2499975,7.726641416549683,char_lm/baseline_rope500,1024,100000,100000,0.026,3.2201950550079346,
30,2999970,9.120668888092041,char_lm/baseline_rope500,1024,100000,100000,0.031,3.3412303924560547,
35,3499965,7.702818870544434,char_lm/baseline_rope500,1024,100000,100000,0.036,3.1193910121917723,
40,3999960,7.013845443725586,char_lm/baseline_rope500,1024,100000,100000,0.041,3.0129541873931887,
45,4499955,8.458105564117432,char_lm/baseline_rope500,1024,100000,100000,0.046,2.9435789585113525,
50,4999950,36.286641120910645,char_lm/baseline_rope500,1024,100000,100000,0.051,,2.8137163400650023
50,4999950,46.4414176940918,char_lm/baseline_rope500,1024,100000,100000,0.051,2.83257851600647,
55,5499945,7.730204820632935,char_lm/baseline_rope500,1024,100000,100000,0.056,2.832847785949707,
60,5999940,7.800950527191162,char_lm/baseline_rope500,1024,100000,100000,0.061,2.728629779815674,
65,6499935,7.0802576541900635,char_lm/baseline_rope500,1024,100000,100000,0.066,2.6726632118225098,
70,6999930,7.261239051818848,char_lm/baseline_rope500,1024,100000,100000,0.071,2.6605876445770265,
75,7499925,7.115725994110107,char_lm/baseline_rope500,1024,100000,100000,0.076,2.672532844543457,
80,7999920,8.496392250061035,char_lm/baseline_rope500,1024,100000,100000,0.081,2.6156400203704835,
85,8499915,7.0191264152526855,char_lm/baseline_rope500,1024,100000,100000,0.086,2.5274632930755616,
90,8999910,7.09893536567688,char_lm/baseline_rope500,1024,100000,100000,0.091,2.5010805130004883,
95,9499905,7.0726494789123535,char_lm/baseline_rope500,1024,100000,100000,0.096,2.4553940296173096,
100,9999900,3.2590317726135254,char_lm/baseline_rope500,1024,100000,100000,0.101,,2.4165244102478027
100,9999900,11.15007495880127,char_lm/baseline_rope500,1024,100000,100000,0.101,2.3990645885467528,
