step,seen_tokens,time_delta_s,run_name,local_window,global_window,mem_freq,lr_mult,train_loss,val_loss
2480,123997520,4.7985827922821045,char_lm/final,849,50000,230,1.0,1.328483247756958,
2485,124247515,5.003168821334839,char_lm/final,850,50000,228,1.0,1.2916985511779786,
2490,124497510,4.956969261169434,char_lm/final,852,50000,227,1.0,1.285732340812683,
2495,124747505,5.069859743118286,char_lm/final,854,50000,225,1.0,1.2511747121810912,
2500,124997500,3.7902536392211914,char_lm/final,856,50000,224,1.0,,1.3335536003112793
2500,124997500,8.880955457687378,char_lm/final,856,50000,224,1.0,1.236722183227539,
2505,125247495,4.794768571853638,char_lm/final,857,50000,222,1.0,1.3716320276260376,
2510,125497490,4.8333580493927,char_lm/final,859,50000,220,1.0,1.305888819694519,
2515,125747485,4.802760124206543,char_lm/final,861,50000,219,1.0,1.29213285446167,
2520,125997480,5.125049829483032,char_lm/final,862,50000,217,1.0,1.3313043117523193,
2525,126247475,4.811954498291016,char_lm/final,864,50000,216,1.0,1.2880953550338745,
2530,126497470,4.778537273406982,char_lm/final,866,50000,214,1.0,1.265103316307068,
2535,126747465,4.920464038848877,char_lm/final,867,50000,212,1.0,1.2838518857955932,
2540,126997460,5.0857696533203125,char_lm/final,869,50000,211,1.0,1.3330485105514527,
2545,127247455,5.251794815063477,char_lm/final,871,50000,209,1.0,1.272016215324402,
2550,127497450,4.697418212890625,char_lm/final,872,50000,208,1.0,1.2621927738189698,
2555,127747445,4.8284382820129395,char_lm/final,874,50000,206,1.0,1.3123971223831177,
2560,127997440,4.792675495147705,char_lm/final,876,50000,204,1.0,1.2790186166763307,
2565,128247435,5.066468715667725,char_lm/final,877,50000,203,1.0,1.2687896966934205,
2570,128497430,4.96238374710083,char_lm/final,879,50000,201,1.0,1.265359926223755,
2575,128747425,5.309905052185059,char_lm/final,881,50000,200,1.0,1.2084707736968994,
2580,128997420,4.811826467514038,char_lm/final,882,50000,198,1.0,1.2805418729782105,
2585,129247415,5.003570079803467,char_lm/final,884,50000,196,1.0,1.3387271881103515,
2590,129497410,4.952277660369873,char_lm/final,886,50000,195,1.0,1.3161463499069215,
2595,129747405,4.731352090835571,char_lm/final,887,50000,193,1.0,1.280300259590149,
2600,129997400,2.1847455501556396,char_lm/final,889,50000,192,1.0,,1.3096269845962525
2600,129997400,7.046836853027344,char_lm/final,889,50000,192,1.0,1.2493727445602416,
2605,130247395,5.179131507873535,char_lm/final,891,50000,190,1.0,1.2673644781112672,
2610,130497390,5.0798585414886475,char_lm/final,892,50000,188,1.0,1.2774130582809449,
2615,130747385,5.3798606395721436,char_lm/final,894,50000,187,1.0,1.1799281120300293,
2620,130997380,5.454371690750122,char_lm/final,896,50000,185,1.0,1.108272171020508,
2625,131247375,5.397961378097534,char_lm/final,898,50000,184,1.0,1.173358678817749,
2630,131497370,5.030325412750244,char_lm/final,899,50000,182,1.0,1.3870368719100952,
2635,131747365,5.5731072425842285,char_lm/final,901,50000,180,1.0,1.3961578845977782,
2640,131997360,4.94121241569519,char_lm/final,903,50000,179,1.0,1.409341049194336,
2645,132247355,5.018649101257324,char_lm/final,904,50000,177,1.0,1.290790581703186,
2650,132497350,5.061139106750488,char_lm/final,906,50000,176,1.0,1.2612457752227784,
2655,132747345,5.032922029495239,char_lm/final,908,50000,174,1.0,1.2596025943756104,
2660,132997340,5.01823878288269,char_lm/final,909,50000,172,1.0,1.2786473989486695,
2665,133247335,4.864725828170776,char_lm/final,911,50000,171,1.0,1.2866836547851563,
2670,133497330,5.013394117355347,char_lm/final,913,50000,169,1.0,1.2491439819335937,
2675,133747325,4.913071393966675,char_lm/final,914,50000,168,1.0,1.2759278059005736,
2680,133997320,4.88072657585144,char_lm/final,916,50000,166,1.0,1.2254899740219116,
2685,134247315,5.118971824645996,char_lm/final,918,50000,164,1.0,1.2037643432617187,
2690,134497310,4.956219911575317,char_lm/final,919,50000,163,1.0,1.2495317459106445,
2695,134747305,5.0090250968933105,char_lm/final,921,50000,161,1.0,1.3555899381637573,
2700,134997300,2.187467575073242,char_lm/final,923,50000,160,1.0,,1.3006895661354065
2700,134997300,7.334343433380127,char_lm/final,923,50000,160,1.0,1.2795486211776734,
2705,135247295,4.970758438110352,char_lm/final,924,50000,158,1.0,1.1964351892471314,
2710,135497290,5.16087794303894,char_lm/final,926,50000,156,1.0,1.2392637014389039,
2715,135747285,5.3046629428863525,char_lm/final,928,50000,155,1.0,1.3540393590927124,
2720,135997280,5.715804815292358,char_lm/final,929,50000,153,1.0,1.4065812826156616,
2725,136247275,5.310815095901489,char_lm/final,931,50000,152,1.0,1.3784902095794678,
2730,136497270,5.298892498016357,char_lm/final,933,50000,150,1.0,1.2945424318313599,
2735,136747265,4.836618423461914,char_lm/final,934,50000,148,1.0,1.2600655794143676,
2740,136997260,5.002871036529541,char_lm/final,936,50000,147,1.0,1.3152474880218505,
2745,137247255,4.912786960601807,char_lm/final,938,50000,145,1.0,1.2989365100860595,
5,249995,272.84249925613403,char_lm/final,17,50000,64,0.004,4.828733205795288,
2750,137497250,5.4955668449401855,char_lm/final,940,50000,144,1.0,1.305120587348938,
10,499990,4.882997989654541,char_lm/final,19,50000,64,0.007333333333333333,4.587991333007812,
2755,137747245,5.075026273727417,char_lm/final,941,50000,142,1.0,1.293341326713562,
15,749985,4.426998138427734,char_lm/final,21,50000,64,0.010666666666666666,4.120751667022705,
2760,137997240,4.924541473388672,char_lm/final,943,50000,140,1.0,1.2756052494049073,
