step,seen_tokens,time_delta_s,run_name,local_window,global_window,mem_freq,lr_mult,train_loss,val_loss
5,499995,125.30084443092346,char_lm/mem,1024,100000,128,0.006,4.805586338043213,
10,999990,10.091710090637207,char_lm/mem,1024,100000,128,0.011,4.407568645477295,
15,1499985,6.673415184020996,char_lm/mem,1024,100000,128,0.016,3.818409824371338,
20,1999980,6.824574708938599,char_lm/mem,1024,100000,128,0.021,3.352084016799927,
25,2499975,8.039818525314331,char_lm/mem,1024,100000,128,0.026,3.2204829692840575,
30,2999970,8.557055711746216,char_lm/mem,1024,100000,128,0.031,3.3379902839660645,
35,3499965,6.703458547592163,char_lm/mem,1024,100000,128,0.036,3.0868391036987304,
40,3999960,7.973055839538574,char_lm/mem,1024,100000,128,0.041,2.974571466445923,
45,4499955,7.405528545379639,char_lm/mem,1024,100000,128,0.046,2.8873942375183104,
50,4999950,21.414896726608276,char_lm/mem,1024,100000,128,0.051,,2.8015657663345337
50,4999950,28.501810789108276,char_lm/mem,1024,100000,128,0.051,2.8022889614105226,
55,5499945,6.733056306838989,char_lm/mem,1024,100000,128,0.056,2.8207563877105715,
60,5999940,6.963604211807251,char_lm/mem,1024,100000,128,0.061,2.723234844207764,
65,6499935,6.741616249084473,char_lm/mem,1024,100000,128,0.066,2.6748750686645506,
70,6999930,6.750840187072754,char_lm/mem,1024,100000,128,0.071,2.6904205322265624,
75,7499925,6.80717396736145,char_lm/mem,1024,100000,128,0.076,2.7203251838684084,
80,7999920,6.977299928665161,char_lm/mem,1024,100000,128,0.081,2.658030080795288,
85,8499915,6.618298292160034,char_lm/mem,1024,100000,128,0.086,2.557993268966675,
90,8999910,6.741802930831909,char_lm/mem,1024,100000,128,0.091,2.5456029415130614,
95,9499905,6.666984796524048,char_lm/mem,1024,100000,128,0.096,2.4933322429656983,
100,9999900,3.4907824993133545,char_lm/mem,1024,100000,128,0.101,,2.4676136016845702
100,9999900,10.509351015090942,char_lm/mem,1024,100000,128,0.101,2.4337273597717286,
105,10499895,6.500316381454468,char_lm/mem,1024,100000,128,0.106,2.448978090286255,
110,10999890,6.642361879348755,char_lm/mem,1024,100000,128,0.111,2.40194091796875,
115,11499885,6.703735589981079,char_lm/mem,1024,100000,128,0.116,2.3728999137878417,
120,11999880,6.821985960006714,char_lm/mem,1024,100000,128,0.121,2.376719617843628,
125,12499875,7.023703098297119,char_lm/mem,1024,100000,128,0.126,2.350926065444946,
130,12999870,6.790044069290161,char_lm/mem,1024,100000,128,0.131,2.3351705074310303,
135,13499865,6.581671237945557,char_lm/mem,1024,100000,128,0.136,2.3020888328552247,
140,13999860,6.765435218811035,char_lm/mem,1024,100000,128,0.141,2.294788646697998,
145,14499855,6.719187259674072,char_lm/mem,1024,100000,128,0.146,2.273136281967163,
150,14999850,3.4846792221069336,char_lm/mem,1024,100000,128,0.151,,2.1935314893722535
150,14999850,10.380562782287598,char_lm/mem,1024,100000,128,0.151,2.1819973945617677,
155,15499845,6.628204822540283,char_lm/mem,1024,100000,128,0.156,2.187058353424072,
160,15999840,6.7349693775177,char_lm/mem,1024,100000,128,0.161,2.123274087905884,
165,16499835,6.917572021484375,char_lm/mem,1024,100000,128,0.166,2.1696740627288817,
170,16999830,7.2758872509002686,char_lm/mem,1024,100000,128,0.171,2.128602075576782,
175,17499825,6.813751220703125,char_lm/mem,1024,100000,128,0.176,2.0906635761260985,
180,17999820,6.725507736206055,char_lm/mem,1024,100000,128,0.181,2.051077365875244,
185,18499815,6.719647407531738,char_lm/mem,1024,100000,128,0.186,2.1092658042907715,
190,18999810,6.806833982467651,char_lm/mem,1024,100000,128,0.191,2.127758264541626,
195,19499805,6.715656995773315,char_lm/mem,1024,100000,128,0.196,2.0375736951828003,
200,19999800,3.4884462356567383,char_lm/mem,1024,100000,128,0.201,,2.0026895999908447
200,19999800,10.86113452911377,char_lm/mem,1024,100000,128,0.201,2.036314105987549,
205,20499795,6.733838319778442,char_lm/mem,1024,100000,128,0.206,1.9673450946807862,
210,20999790,6.625855445861816,char_lm/mem,1024,100000,128,0.211,1.947756552696228,
215,21499785,7.028611421585083,char_lm/mem,1024,100000,128,0.216,1.9038660287857057,
220,21999780,7.235002756118774,char_lm/mem,1024,100000,128,0.221,1.9616908788681031,
225,22499775,6.70687198638916,char_lm/mem,1024,100000,128,0.226,1.9185692548751831,
230,22999770,6.726827621459961,char_lm/mem,1024,100000,128,0.231,1.9342597723007202,
235,23499765,6.957191705703735,char_lm/mem,1024,100000,128,0.236,1.8455559492111206,
240,23999760,6.626771450042725,char_lm/mem,1024,100000,128,0.241,1.9026374340057373,
245,24499755,6.761941194534302,char_lm/mem,1024,100000,128,0.246,1.8620277404785157,
250,24999750,3.489255905151367,char_lm/mem,1024,100000,128,0.251,,1.8544077157974244
250,24999750,10.23958420753479,char_lm/mem,1024,100000,128,0.251,1.8101482391357422,
255,25499745,6.6351330280303955,char_lm/mem,1024,100000,128,0.256,1.8001797914505004,
260,25999740,6.680498361587524,char_lm/mem,1024,100000,128,0.261,1.7933242797851563,
265,26499735,6.690639019012451,char_lm/mem,1024,100000,128,0.266,1.7866538524627686,
270,26999730,6.718041181564331,char_lm/mem,1024,100000,128,0.271,1.7397235870361327,
275,27499725,6.632553339004517,char_lm/mem,1024,100000,128,0.276,1.7141444444656373,
280,27999720,6.751926422119141,char_lm/mem,1024,100000,128,0.281,1.75974702835083,
285,28499715,6.95342230796814,char_lm/mem,1024,100000,128,0.286,1.7281997919082641,
290,28999710,6.6836559772491455,char_lm/mem,1024,100000,128,0.291,1.7298967361450195,
295,29499705,6.674022436141968,char_lm/mem,1024,100000,128,0.296,1.750950074195862,
300,29999700,3.4982681274414062,char_lm/mem,1024,100000,128,0.301,,1.761742627620697
300,29999700,11.285040855407715,char_lm/mem,1024,100000,128,0.301,1.7518677234649658,
305,30499695,6.887237548828125,char_lm/mem,1024,100000,128,0.306,1.8113171339035035,
310,30999690,6.712082862854004,char_lm/mem,1024,100000,128,0.311,1.7135879039764403,
315,31499685,6.656429052352905,char_lm/mem,1024,100000,128,0.316,1.6951209783554078,
320,31999680,6.7462379932403564,char_lm/mem,1024,100000,128,0.321,1.727080488204956,
325,32499675,6.563048362731934,char_lm/mem,1024,100000,128,0.326,1.6494939804077149,
330,32999670,7.663909673690796,char_lm/mem,1024,100000,128,0.331,1.6817566394805907,
335,33499665,6.62621283531189,char_lm/mem,1024,100000,128,0.336,1.6549297094345092,
340,33999660,6.629888534545898,char_lm/mem,1024,100000,128,0.341,1.6129212141036988,
345,34499655,6.744722366333008,char_lm/mem,1024,100000,128,0.346,1.682836079597473,
350,34999650,3.48647403717041,char_lm/mem,1024,100000,128,0.351,,1.679721510410309
350,34999650,10.304826021194458,char_lm/mem,1024,100000,128,0.351,1.671525001525879,
355,35499645,6.642158031463623,char_lm/mem,1024,100000,128,0.356,1.6262041330337524,
360,35999640,7.677479267120361,char_lm/mem,1024,100000,128,0.361,1.6213444709777831,
365,36499635,6.741665601730347,char_lm/mem,1024,100000,128,0.366,1.701954960823059,
370,36999630,6.6005237102508545,char_lm/mem,1024,100000,128,0.371,1.6498088836669922,
375,37499625,6.517611503601074,char_lm/mem,1024,100000,128,0.376,1.6150809288024903,
380,37999620,6.7646803855896,char_lm/mem,1024,100000,128,0.381,1.6193230867385864,
385,38499615,6.55683159828186,char_lm/mem,1024,100000,128,0.386,1.608564853668213,
390,38999610,6.761903762817383,char_lm/mem,1024,100000,128,0.391,1.672437357902527,
395,39499605,6.682623863220215,char_lm/mem,1024,100000,128,0.396,1.6210432052612305,
400,39999600,3.477097988128662,char_lm/mem,1024,100000,128,0.401,,1.6255119919776917
400,39999600,10.327242612838745,char_lm/mem,1024,100000,128,0.401,1.596651315689087,
405,40499595,6.641958713531494,char_lm/mem,1024,100000,128,0.406,1.560168719291687,
410,40999590,6.7255353927612305,char_lm/mem,1024,100000,128,0.411,1.5809512853622436,
415,41499585,6.6824188232421875,char_lm/mem,1024,100000,128,0.416,1.5988218784332275,
420,41999580,6.796034812927246,char_lm/mem,1024,100000,128,0.421,1.5730296611785888,
425,42499575,6.657503128051758,char_lm/mem,1024,100000,128,0.426,1.5759712696075439,
430,42999570,6.61954927444458,char_lm/mem,1024,100000,128,0.431,1.590102195739746,
435,43499565,6.713590383529663,char_lm/mem,1024,100000,128,0.436,1.582947301864624,
440,43999560,6.704843044281006,char_lm/mem,1024,100000,128,0.441,1.5282231569290161,
445,44499555,6.723967790603638,char_lm/mem,1024,100000,128,0.446,1.595096516609192,
450,44999550,3.480855703353882,char_lm/mem,1024,100000,128,0.451,,1.6369746804237366
450,44999550,10.357323169708252,char_lm/mem,1024,100000,128,0.451,1.6823912620544434,
455,45499545,6.89382266998291,char_lm/mem,1024,100000,128,0.456,1.6276017427444458,
460,45999540,7.066482305526733,char_lm/mem,1024,100000,128,0.461,2.275924825668335,
465,46499535,6.673708438873291,char_lm/mem,1024,100000,128,0.466,2.5656847238540648,
470,46999530,6.663031578063965,char_lm/mem,1024,100000,128,0.471,2.3172297954559324,
475,47499525,6.647395372390747,char_lm/mem,1024,100000,128,0.476,2.1612316608428954,
480,47999520,6.66156005859375,char_lm/mem,1024,100000,128,0.481,1.8954201698303224,
485,48499515,6.660053253173828,char_lm/mem,1024,100000,128,0.486,1.7838910102844239,
490,48999510,6.719891548156738,char_lm/mem,1024,100000,128,0.491,1.6989971160888673,
495,49499505,6.647550344467163,char_lm/mem,1024,100000,128,0.496,1.6333793878555298,
500,49999500,3.483476400375366,char_lm/mem,1024,100000,128,0.501,,1.6501259684562684
500,49999500,10.257149457931519,char_lm/mem,1024,100000,128,0.501,1.6500654458999633,
505,50499495,6.829109191894531,char_lm/mem,1024,100000,128,0.506,1.5980983018875121,
510,50999490,6.717967510223389,char_lm/mem,1024,100000,128,0.511,1.604767417907715,
515,51499485,6.955159902572632,char_lm/mem,1024,100000,128,0.516,1.5374180793762207,
520,51999480,6.899161100387573,char_lm/mem,1024,100000,128,0.521,1.5875538825988769,
525,52499475,6.754377841949463,char_lm/mem,1024,100000,128,0.526,1.5918979167938232,
530,52999470,6.840506315231323,char_lm/mem,1024,100000,128,0.531,1.5744287967681885,
535,53499465,7.767946004867554,char_lm/mem,1024,100000,128,0.536,1.6451498985290527,
540,53999460,7.106724977493286,char_lm/mem,1024,100000,128,0.541,1.6707088232040406,
545,54499455,6.757251501083374,char_lm/mem,1024,100000,128,0.546,1.5327763319015504,
550,54999450,3.48367977142334,char_lm/mem,1024,100000,128,0.551,,1.614314079284668
550,54999450,10.347123861312866,char_lm/mem,1024,100000,128,0.551,1.5585250854492188,
555,55499445,6.552761554718018,char_lm/mem,1024,100000,128,0.556,1.6223817348480225,
560,55999440,6.6978676319122314,char_lm/mem,1024,100000,128,0.561,1.6102322340011597,
565,56499435,6.8753626346588135,char_lm/mem,1024,100000,128,0.566,1.535794234275818,
570,56999430,7.292579412460327,char_lm/mem,1024,100000,128,0.571,1.451810359954834,
575,57499425,6.83167290687561,char_lm/mem,1024,100000,128,0.576,1.6277386665344238,
580,57999420,6.774534702301025,char_lm/mem,1024,100000,128,0.581,1.5789884328842163,
585,58499415,6.630572080612183,char_lm/mem,1024,100000,128,0.586,1.6526006698608398,
590,58999410,6.6549670696258545,char_lm/mem,1024,100000,128,0.591,1.5754905700683595,
595,59499405,6.674655437469482,char_lm/mem,1024,100000,128,0.596,1.5398402452468871,
600,59999400,3.4917562007904053,char_lm/mem,1024,100000,128,0.601,,1.6308316230773925
600,59999400,11.694832801818848,char_lm/mem,1024,100000,128,0.601,1.535132360458374,
605,60499395,8.274325847625732,char_lm/mem,1024,100000,128,0.606,1.4453691720962525,
610,60999390,6.796609163284302,char_lm/mem,1024,100000,128,0.611,1.573625636100769,
615,61499385,6.90338659286499,char_lm/mem,1024,100000,128,0.616,1.5841872453689576,
620,61999380,6.841933012008667,char_lm/mem,1024,100000,128,0.621,1.5917019844055176,
625,62499375,6.892922639846802,char_lm/mem,1024,100000,128,0.626,1.6419019460678101,
630,62999370,6.628092527389526,char_lm/mem,1024,100000,128,0.631,1.539098286628723,
635,63499365,6.983781576156616,char_lm/mem,1024,100000,128,0.636,1.5382960796356202,
640,63999360,6.831782341003418,char_lm/mem,1024,100000,128,0.641,1.5275381088256836,
645,64499355,6.704391717910767,char_lm/mem,1024,100000,128,0.646,1.5884387254714967,
650,64999350,3.4835026264190674,char_lm/mem,1024,100000,128,0.651,,1.5568148016929626
650,64999350,10.324882507324219,char_lm/mem,1024,100000,128,0.651,1.5466333866119384,
655,65499345,6.951154947280884,char_lm/mem,1024,100000,128,0.656,1.4485112428665161,
660,65999340,6.917434215545654,char_lm/mem,1024,100000,128,0.661,1.5894340991973877,
665,66499335,6.958305358886719,char_lm/mem,1024,100000,128,0.666,1.6566065549850464,
670,66999330,6.755418062210083,char_lm/mem,1024,100000,128,0.671,1.6015170574188233,
675,67499325,7.211003065109253,char_lm/mem,1024,100000,128,0.676,1.6086196899414062,
680,67999320,6.6738975048065186,char_lm/mem,1024,100000,128,0.681,1.5561186075210571,
685,68499315,6.601285219192505,char_lm/mem,1024,100000,128,0.686,1.5495579481124877,
690,68999310,7.4166035652160645,char_lm/mem,1024,100000,128,0.691,1.502484393119812,
695,69499305,6.777306079864502,char_lm/mem,1024,100000,128,0.696,1.5595689296722413,
700,69999300,3.4862139225006104,char_lm/mem,1024,100000,128,0.701,,1.5750097751617431
700,69999300,10.450071096420288,char_lm/mem,1024,100000,128,0.701,1.5807927608489991,
705,70499295,6.770461797714233,char_lm/mem,1024,100000,128,0.706,1.5803848028182983,
710,70999290,7.1429455280303955,char_lm/mem,1024,100000,128,0.711,1.4804017066955566,
715,71499285,6.851274728775024,char_lm/mem,1024,100000,128,0.716,1.485736346244812,
720,71999280,6.82803750038147,char_lm/mem,1024,100000,128,0.721,1.5456634283065795,
725,72499275,7.241880655288696,char_lm/mem,1024,100000,128,0.726,1.5464725255966187,
730,72999270,6.922244310379028,char_lm/mem,1024,100000,128,0.731,1.4993898391723632,
735,73499265,6.69571328163147,char_lm/mem,1024,100000,128,0.736,1.4990309476852417,
740,73999260,6.501794338226318,char_lm/mem,1024,100000,128,0.741,1.4368861675262452,
745,74499255,6.691260099411011,char_lm/mem,1024,100000,128,0.746,1.4778784275054933,
750,74999250,3.4866416454315186,char_lm/mem,1024,100000,128,0.751,,1.5129113793373108
750,74999250,10.313397645950317,char_lm/mem,1024,100000,128,0.751,1.4929781436920166,
755,75499245,6.8564393520355225,char_lm/mem,1024,100000,128,0.756,1.4079090118408204,
760,75999240,6.725687742233276,char_lm/mem,1024,100000,128,0.761,1.5194555044174194,
765,76499235,6.734246015548706,char_lm/mem,1024,100000,128,0.766,1.4747150421142579,
770,76999230,7.029294729232788,char_lm/mem,1024,100000,128,0.771,1.4497658252716064,
775,77499225,6.659170866012573,char_lm/mem,1024,100000,128,0.776,1.4430497646331788,
780,77999220,6.658235311508179,char_lm/mem,1024,100000,128,0.781,1.4416160106658935,
785,78499215,6.640929937362671,char_lm/mem,1024,100000,128,0.786,1.4554293632507325,
790,78999210,6.711190700531006,char_lm/mem,1024,100000,128,0.791,1.4700900554656982,
795,79499205,6.775867938995361,char_lm/mem,1024,100000,128,0.796,1.4425172805786133,
800,79999200,3.484454870223999,char_lm/mem,1024,100000,128,0.801,,1.4998654007911683
800,79999200,10.545039176940918,char_lm/mem,1024,100000,128,0.801,1.4856932640075684,
805,80499195,7.286784410476685,char_lm/mem,1024,100000,128,0.806,1.5541438341140748,
810,80999190,6.906920909881592,char_lm/mem,1024,100000,128,0.811,1.5944085121154785,
815,81499185,6.655704021453857,char_lm/mem,1024,100000,128,0.816,1.509552550315857,
820,81999180,7.257700443267822,char_lm/mem,1024,100000,128,0.821,1.5296147108078002,
825,82499175,6.715031385421753,char_lm/mem,1024,100000,128,0.826,1.5110004425048829,
830,82999170,6.802206516265869,char_lm/mem,1024,100000,128,0.831,1.589089298248291,
835,83499165,6.66565203666687,char_lm/mem,1024,100000,128,0.836,1.460057544708252,
840,83999160,7.139340877532959,char_lm/mem,1024,100000,128,0.841,1.5024711608886718,
845,84499155,6.676576375961304,char_lm/mem,1024,100000,128,0.846,1.5078559398651123,
850,84999150,3.4883477687835693,char_lm/mem,1024,100000,128,0.851,,1.5108784675598144
850,84999150,10.47332501411438,char_lm/mem,1024,100000,128,0.851,1.4646788835525513,
855,85499145,6.922476768493652,char_lm/mem,1024,100000,128,0.856,1.4881486415863037,
860,85999140,6.803778171539307,char_lm/mem,1024,100000,128,0.861,1.4635460138320924,
865,86499135,6.652379512786865,char_lm/mem,1024,100000,128,0.866,1.4825056076049805,
870,86999130,6.67920184135437,char_lm/mem,1024,100000,128,0.871,1.4632744073867798,
875,87499125,6.5945658683776855,char_lm/mem,1024,100000,128,0.876,1.4162004947662354,
880,87999120,6.638240575790405,char_lm/mem,1024,100000,128,0.881,1.4532361030578613,
885,88499115,6.71541953086853,char_lm/mem,1024,100000,128,0.886,1.4516199827194214,
890,88999110,6.7212443351745605,char_lm/mem,1024,100000,128,0.891,1.4470669031143188,
895,89499105,6.759520530700684,char_lm/mem,1024,100000,128,0.896,1.4965363025665284,
900,89999100,3.4851012229919434,char_lm/mem,1024,100000,128,0.901,,1.4780282735824586
900,89999100,10.318138599395752,char_lm/mem,1024,100000,128,0.901,1.448371458053589,
905,90499095,6.73755955696106,char_lm/mem,1024,100000,128,0.906,1.4393940448760987,
910,90999090,6.869070529937744,char_lm/mem,1024,100000,128,0.911,1.4700119495391846,
915,91499085,6.954365968704224,char_lm/mem,1024,100000,128,0.916,1.5055812358856202,
920,91999080,6.695340633392334,char_lm/mem,1024,100000,128,0.921,1.4389505624771117,
925,92499075,6.6948206424713135,char_lm/mem,1024,100000,128,0.926,1.4502277135849,
930,92999070,6.703609228134155,char_lm/mem,1024,100000,128,0.931,1.4211522579193114,
935,93499065,7.00630259513855,char_lm/mem,1024,100000,128,0.936,1.4156627655029297,
940,93999060,6.960999250411987,char_lm/mem,1024,100000,128,0.941,1.4655489444732666,
945,94499055,6.5671067237854,char_lm/mem,1024,100000,128,0.946,1.436463713645935,
950,94999050,3.482983112335205,char_lm/mem,1024,100000,128,0.951,,1.470401442050934
950,94999050,10.107806921005249,char_lm/mem,1024,100000,128,0.951,1.428307795524597,
955,95499045,6.805222511291504,char_lm/mem,1024,100000,128,0.956,1.4313873767852783,
960,95999040,6.751070022583008,char_lm/mem,1024,100000,128,0.961,1.4363807678222655,
965,96499035,6.636417627334595,char_lm/mem,1024,100000,128,0.966,1.440536093711853,
970,96999030,6.80797553062439,char_lm/mem,1024,100000,128,0.971,1.399796462059021,
975,97499025,6.729642868041992,char_lm/mem,1024,100000,128,0.976,1.4149105310440064,
980,97999020,6.674230098724365,char_lm/mem,1024,100000,128,0.981,1.4256424188613892,
985,98499015,6.774471282958984,char_lm/mem,1024,100000,128,0.986,1.4206849575042724,
990,98999010,6.799609899520874,char_lm/mem,1024,100000,128,0.991,1.4183171033859252,
995,99499005,6.7647082805633545,char_lm/mem,1024,100000,128,0.996,1.4621347904205322,
1000,99999000,3.492706775665283,char_lm/mem,1024,100000,128,1.0,,1.4665359735488892
1000,99999000,10.234007358551025,char_lm/mem,1024,100000,128,1.0,1.4601611852645875,
1005,100498995,6.798517227172852,char_lm/mem,1024,100000,128,1.0,1.4034942626953124,
1010,100998990,6.746583461761475,char_lm/mem,1024,100000,128,1.0,1.4218780279159546,
1015,101498985,6.692140340805054,char_lm/mem,1024,100000,128,1.0,1.4348379611968993,
1020,101998980,6.700960636138916,char_lm/mem,1024,100000,128,1.0,1.439389991760254,
1025,102498975,6.544917345046997,char_lm/mem,1024,100000,128,1.0,1.4272777795791627,
1030,102998970,6.629179000854492,char_lm/mem,1024,100000,128,1.0,1.418503999710083,
1035,103498965,6.741010427474976,char_lm/mem,1024,100000,128,1.0,1.4660661697387696,
1040,103998960,6.560303211212158,char_lm/mem,1024,100000,128,1.0,1.3861921787261964,
1045,104498955,6.588170051574707,char_lm/mem,1024,100000,128,1.0,1.404800248146057,
1050,104998950,3.4827938079833984,char_lm/mem,1024,100000,128,1.0,,1.4587420582771302
1050,104998950,10.521013498306274,char_lm/mem,1024,100000,128,1.0,1.437389087677002,
1055,105498945,6.618998289108276,char_lm/mem,1024,100000,128,1.0,1.4597013235092162,
1060,105998940,6.7359092235565186,char_lm/mem,1024,100000,128,1.0,1.4616255044937134,
1065,106498935,6.679339647293091,char_lm/mem,1024,100000,128,1.0,1.4088002920150757,
1070,106998930,6.782301187515259,char_lm/mem,1024,100000,128,1.0,1.4127985954284668,
1075,107498925,7.068132638931274,char_lm/mem,1024,100000,128,1.0,1.418383812904358,
1080,107998920,6.758109092712402,char_lm/mem,1024,100000,128,1.0,1.4640666484832763,
1085,108498915,6.665555715560913,char_lm/mem,1024,100000,128,1.0,1.4093727111816405,
1090,108998910,6.810941934585571,char_lm/mem,1024,100000,128,1.0,1.4906253576278687,
1095,109498905,6.7957704067230225,char_lm/mem,1024,100000,128,1.0,1.4928483486175537,
1100,109998900,3.4880197048187256,char_lm/mem,1024,100000,128,1.0,,1.4543863534927368
1100,109998900,10.23878788948059,char_lm/mem,1024,100000,128,1.0,1.4883749723434447,
