step,seen_tokens,time_delta_s,run_name,local_window,global_window,mem_freq,lr_mult,train_loss,val_loss
5,499995,123.04738593101501,char_lm/mem_embed,1024,100000,128,0.006,4.8057505289713545,
10,999990,9.492419004440308,char_lm/mem_embed,1024,100000,128,0.011,4.4084399223327635,
15,1499985,6.740349054336548,char_lm/mem_embed,1024,100000,128,0.016,3.8204105854034425,
20,1999980,6.882954835891724,char_lm/mem_embed,1024,100000,128,0.021,3.353211259841919,
25,2499975,8.06999945640564,char_lm/mem_embed,1024,100000,128,0.026,3.2206778049468996,
30,2999970,8.608739852905273,char_lm/mem_embed,1024,100000,128,0.031,3.338999891281128,
35,3499965,6.767892360687256,char_lm/mem_embed,1024,100000,128,0.036,3.0959051132202147,
40,3999960,7.995325565338135,char_lm/mem_embed,1024,100000,128,0.041,2.9866848945617677,
45,4499955,7.4808173179626465,char_lm/mem_embed,1024,100000,128,0.046,2.881433343887329,
50,4999950,22.147878885269165,char_lm/mem_embed,1024,100000,128,0.051,,2.8070521116256715
50,4999950,29.291114568710327,char_lm/mem_embed,1024,100000,128,0.051,2.7978835582733153,
55,5499945,6.8024067878723145,char_lm/mem_embed,1024,100000,128,0.056,2.831609869003296,
60,5999940,7.014901876449585,char_lm/mem_embed,1024,100000,128,0.061,2.7467134952545167,
65,6499935,6.798487186431885,char_lm/mem_embed,1024,100000,128,0.066,2.699353504180908,
70,6999930,6.806942701339722,char_lm/mem_embed,1024,100000,128,0.071,2.7015708923339843,
75,7499925,6.863105773925781,char_lm/mem_embed,1024,100000,128,0.076,2.7295716285705565,
80,7999920,7.0479326248168945,char_lm/mem_embed,1024,100000,128,0.081,2.6908862590789795,
85,8499915,6.667193412780762,char_lm/mem_embed,1024,100000,128,0.086,2.625865077972412,
90,8999910,6.799966335296631,char_lm/mem_embed,1024,100000,128,0.091,2.6265127182006838,
95,9499905,6.740699291229248,char_lm/mem_embed,1024,100000,128,0.096,2.5824013710021974,
100,9999900,3.473179817199707,char_lm/mem_embed,1024,100000,128,0.101,,2.546513032913208
100,9999900,10.554773807525635,char_lm/mem_embed,1024,100000,128,0.101,2.529567527770996,
105,10499895,6.5514068603515625,char_lm/mem_embed,1024,100000,128,0.106,2.525628995895386,
110,10999890,6.697434425354004,char_lm/mem_embed,1024,100000,128,0.111,2.484017562866211,
115,11499885,6.760362148284912,char_lm/mem_embed,1024,100000,128,0.116,2.4623679161071776,
120,11999880,6.8849098682403564,char_lm/mem_embed,1024,100000,128,0.121,2.4447463035583494,
125,12499875,7.09081768989563,char_lm/mem_embed,1024,100000,128,0.126,2.419670915603638,
130,12999870,6.852713584899902,char_lm/mem_embed,1024,100000,128,0.131,2.405988073348999,
135,13499865,6.6474449634552,char_lm/mem_embed,1024,100000,128,0.136,2.372713899612427,
140,13999860,6.828671932220459,char_lm/mem_embed,1024,100000,128,0.141,2.3650856494903563,
145,14499855,6.779598236083984,char_lm/mem_embed,1024,100000,128,0.146,2.3471148014068604,
150,14999850,3.4633970260620117,char_lm/mem_embed,1024,100000,128,0.151,,2.280278134346008
150,14999850,10.406923055648804,char_lm/mem_embed,1024,100000,128,0.151,2.2565364837646484,
155,15499845,6.692746877670288,char_lm/mem_embed,1024,100000,128,0.156,2.2721002101898193,
160,15999840,6.790471315383911,char_lm/mem_embed,1024,100000,128,0.161,2.215995502471924,
165,16499835,6.977543115615845,char_lm/mem_embed,1024,100000,128,0.166,2.2320547103881836,
170,16999830,7.3406805992126465,char_lm/mem_embed,1024,100000,128,0.171,2.2095592975616456,
175,17499825,6.881990671157837,char_lm/mem_embed,1024,100000,128,0.176,2.1661963939666746,
180,17999820,6.79182243347168,char_lm/mem_embed,1024,100000,128,0.181,2.16626353263855,
185,18499815,6.773015260696411,char_lm/mem_embed,1024,100000,128,0.186,2.1907564640045165,
190,18999810,6.884022951126099,char_lm/mem_embed,1024,100000,128,0.191,2.2070028305053713,
195,19499805,6.771690130233765,char_lm/mem_embed,1024,100000,128,0.196,2.1276172637939452,
200,19999800,3.4730255603790283,char_lm/mem_embed,1024,100000,128,0.201,,2.093959093093872
200,19999800,10.892319440841675,char_lm/mem_embed,1024,100000,128,0.201,2.122272777557373,
205,20499795,6.80898118019104,char_lm/mem_embed,1024,100000,128,0.206,2.062520456314087,
210,20999790,6.663244724273682,char_lm/mem_embed,1024,100000,128,0.211,2.0486685752868654,
215,21499785,7.081977128982544,char_lm/mem_embed,1024,100000,128,0.216,1.9897311449050903,
220,21999780,7.32181715965271,char_lm/mem_embed,1024,100000,128,0.221,2.058031940460205,
225,22499775,6.769979476928711,char_lm/mem_embed,1024,100000,128,0.226,2.0169495582580566,
230,22999770,6.7879016399383545,char_lm/mem_embed,1024,100000,128,0.231,2.0224917411804197,
235,23499765,7.021942138671875,char_lm/mem_embed,1024,100000,128,0.236,1.9290733575820922,
240,23999760,6.685561180114746,char_lm/mem_embed,1024,100000,128,0.241,1.9651183843612672,
245,24499755,6.834498882293701,char_lm/mem_embed,1024,100000,128,0.246,1.9308268785476685,
250,24999750,3.4613354206085205,char_lm/mem_embed,1024,100000,128,0.251,,1.9154599189758301
250,24999750,10.281281471252441,char_lm/mem_embed,1024,100000,128,0.251,1.8948762893676758,
255,25499745,6.6963396072387695,char_lm/mem_embed,1024,100000,128,0.256,1.869700026512146,
260,25999740,6.746194362640381,char_lm/mem_embed,1024,100000,128,0.261,1.8623738050460816,
265,26499735,6.748295783996582,char_lm/mem_embed,1024,100000,128,0.266,1.8583412170410156,
270,26999730,6.77026104927063,char_lm/mem_embed,1024,100000,128,0.271,1.8025390386581421,
275,27499725,6.693944692611694,char_lm/mem_embed,1024,100000,128,0.276,1.80338454246521,
280,27999720,6.821194648742676,char_lm/mem_embed,1024,100000,128,0.281,1.8302413940429687,
285,28499715,7.01402473449707,char_lm/mem_embed,1024,100000,128,0.286,1.7916096448898315,
290,28999710,6.738837718963623,char_lm/mem_embed,1024,100000,128,0.291,1.792524814605713,
295,29499705,6.733158111572266,char_lm/mem_embed,1024,100000,128,0.296,1.8062708854675293,
300,29999700,3.46636700630188,char_lm/mem_embed,1024,100000,128,0.301,,1.8171278595924378
300,29999700,11.304913997650146,char_lm/mem_embed,1024,100000,128,0.301,1.8041924953460693,
305,30499695,6.955288648605347,char_lm/mem_embed,1024,100000,128,0.306,1.8601215600967407,
310,30999690,6.777251720428467,char_lm/mem_embed,1024,100000,128,0.311,1.767573356628418,
315,31499685,6.7399022579193115,char_lm/mem_embed,1024,100000,128,0.316,1.7392040491104126,
320,31999680,6.812166213989258,char_lm/mem_embed,1024,100000,128,0.321,1.7839912176132202,
325,32499675,6.646021127700806,char_lm/mem_embed,1024,100000,128,0.326,1.6991215229034424,
330,32999670,7.703406095504761,char_lm/mem_embed,1024,100000,128,0.331,1.7115945100784302,
335,33499665,6.69053053855896,char_lm/mem_embed,1024,100000,128,0.336,1.696597647666931,
340,33999660,6.6882617473602295,char_lm/mem_embed,1024,100000,128,0.341,1.6529107093811035,
345,34499655,6.822667598724365,char_lm/mem_embed,1024,100000,128,0.346,1.7047106266021728,
350,34999650,3.4586641788482666,char_lm/mem_embed,1024,100000,128,0.351,,1.7147689461708069
350,34999650,10.328283548355103,char_lm/mem_embed,1024,100000,128,0.351,1.703067946434021,
355,35499645,6.720602512359619,char_lm/mem_embed,1024,100000,128,0.356,1.663568091392517,
360,35999640,7.754644155502319,char_lm/mem_embed,1024,100000,128,0.361,1.6553561449050904,
365,36499635,6.80742335319519,char_lm/mem_embed,1024,100000,128,0.366,1.7314422130584717,
370,36999630,6.633145093917847,char_lm/mem_embed,1024,100000,128,0.371,1.6758935689926147,
375,37499625,6.601492404937744,char_lm/mem_embed,1024,100000,128,0.376,1.6404640436172486,
380,37999620,6.830386161804199,char_lm/mem_embed,1024,100000,128,0.381,1.6462575435638427,
385,38499615,6.627765417098999,char_lm/mem_embed,1024,100000,128,0.386,1.6348357677459717,
390,38999610,6.818594932556152,char_lm/mem_embed,1024,100000,128,0.391,1.6979015111923217,
395,39499605,6.741637468338013,char_lm/mem_embed,1024,100000,128,0.396,1.6417647838592528,
400,39999600,3.4703009128570557,char_lm/mem_embed,1024,100000,128,0.401,,1.649525260925293
400,39999600,10.370940685272217,char_lm/mem_embed,1024,100000,128,0.401,1.6165660619735718,
405,40499595,6.701391935348511,char_lm/mem_embed,1024,100000,128,0.406,1.5841845512390136,
410,40999590,6.781842470169067,char_lm/mem_embed,1024,100000,128,0.411,1.6024595737457275,
415,41499585,6.742307424545288,char_lm/mem_embed,1024,100000,128,0.416,1.6270457267761231,
420,41999580,6.855406761169434,char_lm/mem_embed,1024,100000,128,0.421,1.5875912666320802,
425,42499575,6.7285239696502686,char_lm/mem_embed,1024,100000,128,0.426,1.5857213020324707,
