step,seen_tokens,time_delta_s,run_name,local_window,global_window,mem_freq,lr_mult,train_loss,val_loss
5,499995,125.73086929321289,char_lm/mem_unet,1024,100000,128,0.006,4.818490982055664,
10,999990,9.48264455795288,char_lm/mem_unet,1024,100000,128,0.011,4.464703845977783,
15,1499985,6.6770102977752686,char_lm/mem_unet,1024,100000,128,0.016,3.8386693954467774,
20,1999980,6.810455799102783,char_lm/mem_unet,1024,100000,128,0.021,3.357367658615112,
25,2499975,8.026086807250977,char_lm/mem_unet,1024,100000,128,0.026,3.2191367626190184,
30,2999970,8.56540846824646,char_lm/mem_unet,1024,100000,128,0.031,3.3473755359649657,
35,3499965,6.711384057998657,char_lm/mem_unet,1024,100000,128,0.036,3.108607053756714,
40,3999960,7.932255983352661,char_lm/mem_unet,1024,100000,128,0.041,2.992327070236206,
45,4499955,7.390501976013184,char_lm/mem_unet,1024,100000,128,0.046,2.869863986968994,
50,4999950,21.47947072982788,char_lm/mem_unet,1024,100000,128,0.051,,2.7361958503723143
50,4999950,28.545002698898315,char_lm/mem_unet,1024,100000,128,0.051,2.757654571533203,
55,5499945,6.723014831542969,char_lm/mem_unet,1024,100000,128,0.056,2.757645082473755,
60,5999940,6.938271522521973,char_lm/mem_unet,1024,100000,128,0.061,2.675313186645508,
65,6499935,6.738818168640137,char_lm/mem_unet,1024,100000,128,0.066,2.639551210403442,
70,6999930,6.732863426208496,char_lm/mem_unet,1024,100000,128,0.071,2.6430122375488283,
75,7499925,6.785070419311523,char_lm/mem_unet,1024,100000,128,0.076,2.669012451171875,
80,7999920,6.97046971321106,char_lm/mem_unet,1024,100000,128,0.081,2.64355263710022,
85,8499915,6.609486103057861,char_lm/mem_unet,1024,100000,128,0.086,2.593851900100708,
90,8999910,6.721023321151733,char_lm/mem_unet,1024,100000,128,0.091,2.5963815212249757,
95,9499905,6.681645393371582,char_lm/mem_unet,1024,100000,128,0.096,2.5636448860168457,
100,9999900,3.4798405170440674,char_lm/mem_unet,1024,100000,128,0.101,,2.5458784103393555
100,9999900,10.486194372177124,char_lm/mem_unet,1024,100000,128,0.101,2.526444339752197,
105,10499895,6.49555230140686,char_lm/mem_unet,1024,100000,128,0.106,2.5260571002960206,
110,10999890,6.637267827987671,char_lm/mem_unet,1024,100000,128,0.111,2.539101266860962,
115,11499885,6.695578098297119,char_lm/mem_unet,1024,100000,128,0.116,2.4996354579925537,
120,11999880,6.8091630935668945,char_lm/mem_unet,1024,100000,128,0.121,2.4776120662689207,
125,12499875,7.0392985343933105,char_lm/mem_unet,1024,100000,128,0.126,2.4413565158843995,
130,12999870,6.780781984329224,char_lm/mem_unet,1024,100000,128,0.131,2.422686815261841,
135,13499865,6.582336187362671,char_lm/mem_unet,1024,100000,128,0.136,2.3882121086120605,
140,13999860,6.7434985637664795,char_lm/mem_unet,1024,100000,128,0.141,2.363806867599487,
145,14499855,6.718818426132202,char_lm/mem_unet,1024,100000,128,0.146,2.3422884941101074,
150,14999850,3.4728362560272217,char_lm/mem_unet,1024,100000,128,0.151,,2.277804136276245
150,14999850,10.35291314125061,char_lm/mem_unet,1024,100000,128,0.151,2.246130084991455,
155,15499845,6.624704599380493,char_lm/mem_unet,1024,100000,128,0.156,2.257398319244385,
160,15999840,6.720552682876587,char_lm/mem_unet,1024,100000,128,0.161,2.202350044250488,
165,16499835,6.9440131187438965,char_lm/mem_unet,1024,100000,128,0.166,2.2210202693939207,
170,16999830,7.290822267532349,char_lm/mem_unet,1024,100000,128,0.171,2.2081882476806642,
175,17499825,6.80536961555481,char_lm/mem_unet,1024,100000,128,0.176,2.168042469024658,
180,17999820,6.729017496109009,char_lm/mem_unet,1024,100000,128,0.181,2.17987322807312,
185,18499815,6.7094035148620605,char_lm/mem_unet,1024,100000,128,0.186,2.195119047164917,
190,18999810,6.808572292327881,char_lm/mem_unet,1024,100000,128,0.191,2.212737512588501,
195,19499805,6.704724311828613,char_lm/mem_unet,1024,100000,128,0.196,2.1337818145751952,
200,19999800,3.479421377182007,char_lm/mem_unet,1024,100000,128,0.201,,2.1044712543487547
200,19999800,10.856757640838623,char_lm/mem_unet,1024,100000,128,0.201,2.133982706069946,
205,20499795,6.7237021923065186,char_lm/mem_unet,1024,100000,128,0.206,2.0739657878875732,
210,20999790,6.6133458614349365,char_lm/mem_unet,1024,100000,128,0.211,2.0547194480895996,
215,21499785,7.017106533050537,char_lm/mem_unet,1024,100000,128,0.216,2.036207127571106,
220,21999780,7.253831624984741,char_lm/mem_unet,1024,100000,128,0.221,2.0825561046600343,
225,22499775,6.696592569351196,char_lm/mem_unet,1024,100000,128,0.226,2.0411776065826417,
230,22999770,6.7248969078063965,char_lm/mem_unet,1024,100000,128,0.231,2.0424174785614015,
235,23499765,6.94742751121521,char_lm/mem_unet,1024,100000,128,0.236,1.9468103647232056,
240,23999760,6.624147176742554,char_lm/mem_unet,1024,100000,128,0.241,1.9914530992507935,
245,24499755,6.769140958786011,char_lm/mem_unet,1024,100000,128,0.246,1.9532169342041015,
250,24999750,3.476841926574707,char_lm/mem_unet,1024,100000,128,0.251,,1.941628086566925
250,24999750,10.218762874603271,char_lm/mem_unet,1024,100000,128,0.251,1.923032784461975,
255,25499745,6.62382435798645,char_lm/mem_unet,1024,100000,128,0.256,1.8958936214447022,
260,25999740,6.683872938156128,char_lm/mem_unet,1024,100000,128,0.261,1.896379542350769,
265,26499735,6.686099529266357,char_lm/mem_unet,1024,100000,128,0.266,1.894866704940796,
270,26999730,6.696242809295654,char_lm/mem_unet,1024,100000,128,0.271,1.8368759393692016,
275,27499725,6.624898195266724,char_lm/mem_unet,1024,100000,128,0.276,1.8083224058151246,
280,27999720,6.740284204483032,char_lm/mem_unet,1024,100000,128,0.281,1.8563525199890136,
285,28499715,6.960695266723633,char_lm/mem_unet,1024,100000,128,0.286,1.8178342819213866,
290,28999710,6.688709735870361,char_lm/mem_unet,1024,100000,128,0.291,1.8171600580215455,
295,29499705,6.6749677658081055,char_lm/mem_unet,1024,100000,128,0.296,1.8331834077835083,
300,29999700,3.5123987197875977,char_lm/mem_unet,1024,100000,128,0.301,,1.846808958053589
300,29999700,11.305068492889404,char_lm/mem_unet,1024,100000,128,0.301,1.8318364858627318,
305,30499695,6.88875412940979,char_lm/mem_unet,1024,100000,128,0.306,1.8921329736709596,
310,30999690,6.712476491928101,char_lm/mem_unet,1024,100000,128,0.311,1.7988478422164917,
315,31499685,6.65371561050415,char_lm/mem_unet,1024,100000,128,0.316,1.7693434953689575,
320,31999680,6.740637540817261,char_lm/mem_unet,1024,100000,128,0.321,1.7995199680328369,
325,32499675,6.571903467178345,char_lm/mem_unet,1024,100000,128,0.326,1.7147499322891235,
330,32999670,7.65366005897522,char_lm/mem_unet,1024,100000,128,0.331,1.734713339805603,
335,33499665,6.6301984786987305,char_lm/mem_unet,1024,100000,128,0.336,1.7150425672531129,
340,33999660,6.625890731811523,char_lm/mem_unet,1024,100000,128,0.341,1.6695774793624878,
345,34499655,6.749106168746948,char_lm/mem_unet,1024,100000,128,0.346,1.7165516376495362,
350,34999650,3.484121799468994,char_lm/mem_unet,1024,100000,128,0.351,,1.7360673308372498
350,34999650,10.317067384719849,char_lm/mem_unet,1024,100000,128,0.351,1.718932557106018,
355,35499645,6.639937400817871,char_lm/mem_unet,1024,100000,128,0.356,1.6798481941223145,
360,35999640,7.681703090667725,char_lm/mem_unet,1024,100000,128,0.361,1.6787036657333374,
365,36499635,6.741702556610107,char_lm/mem_unet,1024,100000,128,0.366,1.75937180519104,
370,36999630,6.572513818740845,char_lm/mem_unet,1024,100000,128,0.371,1.7004194259643555,
375,37499625,6.5402021408081055,char_lm/mem_unet,1024,100000,128,0.376,1.6604758977890015,
380,37999620,6.764696836471558,char_lm/mem_unet,1024,100000,128,0.381,1.6654905796051025,
385,38499615,6.56624174118042,char_lm/mem_unet,1024,100000,128,0.386,1.6562710046768188,
390,38999610,6.748558521270752,char_lm/mem_unet,1024,100000,128,0.391,1.7125576972961425,
395,39499605,6.679324150085449,char_lm/mem_unet,1024,100000,128,0.396,1.665365719795227,
400,39999600,3.4842443466186523,char_lm/mem_unet,1024,100000,128,0.401,,1.6811052799224853
400,39999600,10.326612710952759,char_lm/mem_unet,1024,100000,128,0.401,1.6412912607192993,
405,40499595,6.653503894805908,char_lm/mem_unet,1024,100000,128,0.406,1.6109339475631714,
410,40999590,6.724874496459961,char_lm/mem_unet,1024,100000,128,0.411,1.6174252510070801,
415,41499585,6.6725664138793945,char_lm/mem_unet,1024,100000,128,0.416,1.635407304763794,
420,41999580,6.794297218322754,char_lm/mem_unet,1024,100000,128,0.421,1.5954336166381835,
425,42499575,6.654615879058838,char_lm/mem_unet,1024,100000,128,0.426,1.6033513784408568,
430,42999570,6.609959840774536,char_lm/mem_unet,1024,100000,128,0.431,1.6178036689758302,
435,43499565,6.713216543197632,char_lm/mem_unet,1024,100000,128,0.436,1.610042405128479,
440,43999560,6.710792779922485,char_lm/mem_unet,1024,100000,128,0.441,1.5587932586669921,
445,44499555,6.7266576290130615,char_lm/mem_unet,1024,100000,128,0.446,1.615834927558899,
450,44999550,3.479459762573242,char_lm/mem_unet,1024,100000,128,0.451,,1.6418186664581298
450,44999550,10.351683855056763,char_lm/mem_unet,1024,100000,128,0.451,1.691748857498169,
455,45499545,6.883080720901489,char_lm/mem_unet,1024,100000,128,0.456,1.6224591493606568,
460,45999540,7.066534757614136,char_lm/mem_unet,1024,100000,128,0.461,1.599410891532898,
465,46499535,6.676332950592041,char_lm/mem_unet,1024,100000,128,0.466,1.6162780046463012,
470,46999530,6.657299041748047,char_lm/mem_unet,1024,100000,128,0.471,1.608977699279785,
475,47499525,6.633919715881348,char_lm/mem_unet,1024,100000,128,0.476,1.563601565361023,
480,47999520,6.642602443695068,char_lm/mem_unet,1024,100000,128,0.481,1.5651140689849854,
485,48499515,6.658285617828369,char_lm/mem_unet,1024,100000,128,0.486,1.5727994441986084,
490,48999510,6.703831911087036,char_lm/mem_unet,1024,100000,128,0.491,1.5562047481536865,
495,49499505,6.6407859325408936,char_lm/mem_unet,1024,100000,128,0.496,1.5373250007629395,
500,49999500,3.484858989715576,char_lm/mem_unet,1024,100000,128,0.501,,1.58538156747818
500,49999500,10.248072385787964,char_lm/mem_unet,1024,100000,128,0.501,1.5772409200668336,
505,50499495,6.831698894500732,char_lm/mem_unet,1024,100000,128,0.506,1.5450179815292358,
510,50999490,6.708984851837158,char_lm/mem_unet,1024,100000,128,0.511,1.5531769037246703,
515,51499485,6.944619417190552,char_lm/mem_unet,1024,100000,128,0.516,1.51776123046875,
520,51999480,6.892024040222168,char_lm/mem_unet,1024,100000,128,0.521,1.555896806716919,
525,52499475,6.754336595535278,char_lm/mem_unet,1024,100000,128,0.526,1.5590785980224608,
530,52999470,6.833076000213623,char_lm/mem_unet,1024,100000,128,0.531,1.5509937047958373,
535,53499465,7.752870798110962,char_lm/mem_unet,1024,100000,128,0.536,1.6142205476760865,
540,53999460,7.096995115280151,char_lm/mem_unet,1024,100000,128,0.541,1.6656643629074097,
545,54499455,6.756479263305664,char_lm/mem_unet,1024,100000,128,0.546,1.5282110452651978,
550,54999450,3.4788832664489746,char_lm/mem_unet,1024,100000,128,0.551,,1.5938995122909545
550,54999450,10.319391250610352,char_lm/mem_unet,1024,100000,128,0.551,1.5412512302398682,
555,55499445,6.5544328689575195,char_lm/mem_unet,1024,100000,128,0.556,1.6058514833450317,
560,55999440,6.685581922531128,char_lm/mem_unet,1024,100000,128,0.561,1.5931975841522217,
565,56499435,6.860612630844116,char_lm/mem_unet,1024,100000,128,0.566,1.5188899040222168,
570,56999430,7.277974367141724,char_lm/mem_unet,1024,100000,128,0.571,1.4414544343948363,
575,57499425,6.848952054977417,char_lm/mem_unet,1024,100000,128,0.576,1.6070939540863036,
580,57999420,6.767135381698608,char_lm/mem_unet,1024,100000,128,0.581,1.557601809501648,
585,58499415,6.612882375717163,char_lm/mem_unet,1024,100000,128,0.586,1.6289868831634522,
590,58999410,6.650511026382446,char_lm/mem_unet,1024,100000,128,0.591,1.5515315532684326,
595,59499405,6.672421932220459,char_lm/mem_unet,1024,100000,128,0.596,1.5221210956573485,
600,59999400,3.488860845565796,char_lm/mem_unet,1024,100000,128,0.601,,1.6065589904785156
600,59999400,11.695064783096313,char_lm/mem_unet,1024,100000,128,0.601,1.524795126914978,
605,60499395,8.260167360305786,char_lm/mem_unet,1024,100000,128,0.606,1.4806699991226195,
610,60999390,6.794222831726074,char_lm/mem_unet,1024,100000,128,0.611,2.5587795972824097,
615,61499385,6.899636745452881,char_lm/mem_unet,1024,100000,128,0.616,2.269109869003296,
620,61999380,6.834958076477051,char_lm/mem_unet,1024,100000,128,0.621,2.0923203945159914,
625,62499375,6.896057367324829,char_lm/mem_unet,1024,100000,128,0.626,1.8934821605682373,
630,62999370,6.623347759246826,char_lm/mem_unet,1024,100000,128,0.631,1.6696034669876099,
635,63499365,6.979221820831299,char_lm/mem_unet,1024,100000,128,0.636,1.6183621644973756,
640,63999360,6.839914560317993,char_lm/mem_unet,1024,100000,128,0.641,1.5801376342773437,
