step,seen_tokens,time_delta_s,run_name,local_window,global_window,mem_freq,lr_mult,train_loss,val_loss
5,499995,124.78100109100342,char_lm/mem_unet_embed,1024,100000,128,0.006,4.818166255950928,
10,999990,9.548689603805542,char_lm/mem_unet_embed,1024,100000,128,0.011,4.462243747711182,
15,1499985,6.7493577003479,char_lm/mem_unet_embed,1024,100000,128,0.016,3.8360533714294434,
20,1999980,6.872846841812134,char_lm/mem_unet_embed,1024,100000,128,0.021,3.3566471576690673,
25,2499975,8.116199731826782,char_lm/mem_unet_embed,1024,100000,128,0.026,3.2192418575286865,
30,2999970,8.601522445678711,char_lm/mem_unet_embed,1024,100000,128,0.031,3.3482319355010985,
35,3499965,6.773874044418335,char_lm/mem_unet_embed,1024,100000,128,0.036,3.123379373550415,
40,3999960,8.00672698020935,char_lm/mem_unet_embed,1024,100000,128,0.041,3.0149723052978517,
45,4499955,7.438643217086792,char_lm/mem_unet_embed,1024,100000,128,0.046,2.8729735374450684,
50,4999950,22.23439884185791,char_lm/mem_unet_embed,1024,100000,128,0.051,,2.7277384281158445
50,4999950,29.35993981361389,char_lm/mem_unet_embed,1024,100000,128,0.051,2.7422099113464355,
55,5499945,6.8132407665252686,char_lm/mem_unet_embed,1024,100000,128,0.056,2.746259069442749,
60,5999940,7.005897283554077,char_lm/mem_unet_embed,1024,100000,128,0.061,2.66786470413208,
65,6499935,6.792072772979736,char_lm/mem_unet_embed,1024,100000,128,0.066,2.6327022552490233,
70,6999930,6.793866157531738,char_lm/mem_unet_embed,1024,100000,128,0.071,2.6426531314849853,
75,7499925,6.862379789352417,char_lm/mem_unet_embed,1024,100000,128,0.076,2.670068883895874,
80,7999920,7.039918899536133,char_lm/mem_unet_embed,1024,100000,128,0.081,2.6437779903411864,
85,8499915,6.668871164321899,char_lm/mem_unet_embed,1024,100000,128,0.086,2.596691036224365,
90,8999910,6.783856391906738,char_lm/mem_unet_embed,1024,100000,128,0.091,2.603850555419922,
95,9499905,6.725065231323242,char_lm/mem_unet_embed,1024,100000,128,0.096,2.5641351699829102,
100,9999900,3.4751439094543457,char_lm/mem_unet_embed,1024,100000,128,0.101,,2.5261109352111815
100,9999900,10.54386830329895,char_lm/mem_unet_embed,1024,100000,128,0.101,2.4908234596252443,
105,10499895,6.561053991317749,char_lm/mem_unet_embed,1024,100000,128,0.106,2.500941801071167,
110,10999890,6.691856384277344,char_lm/mem_unet_embed,1024,100000,128,0.111,2.4705059051513674,
115,11499885,6.750368595123291,char_lm/mem_unet_embed,1024,100000,128,0.116,2.446543884277344,
120,11999880,6.873552560806274,char_lm/mem_unet_embed,1024,100000,128,0.121,2.444014072418213,
125,12499875,7.0946714878082275,char_lm/mem_unet_embed,1024,100000,128,0.126,2.453894853591919,
130,12999870,6.858197212219238,char_lm/mem_unet_embed,1024,100000,128,0.131,2.4340253829956056,
135,13499865,6.671810865402222,char_lm/mem_unet_embed,1024,100000,128,0.136,2.402515983581543,
140,13999860,6.832844257354736,char_lm/mem_unet_embed,1024,100000,128,0.141,2.381768894195557,
145,14499855,6.798152446746826,char_lm/mem_unet_embed,1024,100000,128,0.146,2.368197441101074,
150,14999850,3.4689862728118896,char_lm/mem_unet_embed,1024,100000,128,0.151,,2.285487341880798
150,14999850,10.446773767471313,char_lm/mem_unet_embed,1024,100000,128,0.151,2.2700867652893066,
155,15499845,6.702548980712891,char_lm/mem_unet_embed,1024,100000,128,0.156,2.268834114074707,
160,15999840,6.802816867828369,char_lm/mem_unet_embed,1024,100000,128,0.161,2.204009675979614,
165,16499835,6.989260673522949,char_lm/mem_unet_embed,1024,100000,128,0.166,2.2083550930023192,
170,16999830,7.337040424346924,char_lm/mem_unet_embed,1024,100000,128,0.171,2.204408073425293,
175,17499825,6.865119695663452,char_lm/mem_unet_embed,1024,100000,128,0.176,2.173315000534058,
180,17999820,6.781092405319214,char_lm/mem_unet_embed,1024,100000,128,0.181,2.138975191116333,
185,18499815,6.7717790603637695,char_lm/mem_unet_embed,1024,100000,128,0.186,2.1709750652313233,
190,18999810,6.8554604053497314,char_lm/mem_unet_embed,1024,100000,128,0.191,2.1934446334838866,
195,19499805,6.761861562728882,char_lm/mem_unet_embed,1024,100000,128,0.196,2.1174996852874757,
200,19999800,3.463907241821289,char_lm/mem_unet_embed,1024,100000,128,0.201,,2.0703557968139648
200,19999800,10.915088176727295,char_lm/mem_unet_embed,1024,100000,128,0.201,2.110986518859863,
205,20499795,6.782322406768799,char_lm/mem_unet_embed,1024,100000,128,0.206,2.0401246786117553,
210,20999790,6.666103839874268,char_lm/mem_unet_embed,1024,100000,128,0.211,2.040239715576172,
215,21499785,7.071027040481567,char_lm/mem_unet_embed,1024,100000,128,0.216,1.990465521812439,
220,21999780,7.304661750793457,char_lm/mem_unet_embed,1024,100000,128,0.221,2.042680358886719,
225,22499775,6.747082948684692,char_lm/mem_unet_embed,1024,100000,128,0.226,2.006097149848938,
230,22999770,6.7776525020599365,char_lm/mem_unet_embed,1024,100000,128,0.231,2.014606809616089,
