step,seen_tokens,time_delta_s,run_name,local_window,global_window,mem_freq,lr_mult,train_loss,val_loss
5,499995,160.82866072654724,char_lm/mem_unet_embed_warmup,17,100000,99900,0.006,4.818970282872518,
10,999990,8.637791633605957,char_lm/mem_unet_embed_warmup,18,100000,99800,0.011,4.465448379516602,
15,1499985,6.684046030044556,char_lm/mem_unet_embed_warmup,19,100000,99700,0.016,3.8383458137512205,
20,1999980,6.556411266326904,char_lm/mem_unet_embed_warmup,20,100000,99600,0.021,3.357814645767212,
25,2499975,5.975182056427002,char_lm/mem_unet_embed_warmup,21,100000,99500,0.026,3.219888782501221,
30,2999970,7.101654052734375,char_lm/mem_unet_embed_warmup,22,100000,99400,0.031,3.3476659774780275,
35,3499965,5.84423041343689,char_lm/mem_unet_embed_warmup,23,100000,99300,0.036,3.121260070800781,
40,3999960,5.185385465621948,char_lm/mem_unet_embed_warmup,24,100000,99201,0.041,2.994383668899536,
45,4499955,6.537741184234619,char_lm/mem_unet_embed_warmup,25,100000,99101,0.046,2.860560894012451,
50,4999950,21.86545705795288,char_lm/mem_unet_embed_warmup,26,100000,99001,0.051,,2.7415586948394775
50,4999950,28.80031180381775,char_lm/mem_unet_embed_warmup,26,100000,99001,0.051,2.7585856914520264,
55,5499945,5.847224473953247,char_lm/mem_unet_embed_warmup,27,100000,98901,0.056,2.7591967582702637,
60,5999940,5.8235650062561035,char_lm/mem_unet_embed_warmup,28,100000,98801,0.061,2.6592957973480225,
65,6499935,5.176725625991821,char_lm/mem_unet_embed_warmup,29,100000,98701,0.066,2.5910412311553954,
70,6999930,5.4511284828186035,char_lm/mem_unet_embed_warmup,30,100000,98601,0.071,2.5653284549713136,
75,7499925,5.175877809524536,char_lm/mem_unet_embed_warmup,31,100000,98501,0.076,2.5590499877929687,
80,7999920,6.528246879577637,char_lm/mem_unet_embed_warmup,32,100000,98402,0.081,2.496709871292114,
85,8499915,5.179212808609009,char_lm/mem_unet_embed_warmup,33,100000,98302,0.086,2.4234763622283935,
90,8999910,5.176273822784424,char_lm/mem_unet_embed_warmup,34,100000,98202,0.091,2.4138002395629883,
95,9499905,5.179651260375977,char_lm/mem_unet_embed_warmup,35,100000,98102,0.096,2.3559099674224853,
100,9999900,2.7346627712249756,char_lm/mem_unet_embed_warmup,36,100000,98002,0.101,,2.323108410835266
100,9999900,8.694345712661743,char_lm/mem_unet_embed_warmup,36,100000,98002,0.101,2.299442720413208,
105,10499895,6.095417737960815,char_lm/mem_unet_embed_warmup,37,100000,97902,0.106,2.2889148235321044,
110,10999890,5.340922832489014,char_lm/mem_unet_embed_warmup,38,100000,97802,0.111,2.2234674453735352,
115,11499885,5.1626482009887695,char_lm/mem_unet_embed_warmup,39,100000,97702,0.116,2.231217622756958,
120,11999880,5.161839962005615,char_lm/mem_unet_embed_warmup,40,100000,97603,0.121,2.203094244003296,
125,12499875,5.164637327194214,char_lm/mem_unet_embed_warmup,41,100000,97503,0.126,2.1580581188201906,
130,12999870,5.162415027618408,char_lm/mem_unet_embed_warmup,42,100000,97403,0.131,2.151323413848877,
135,13499865,5.161881685256958,char_lm/mem_unet_embed_warmup,43,100000,97303,0.136,2.118519639968872,
140,13999860,5.163314342498779,char_lm/mem_unet_embed_warmup,44,100000,97203,0.141,2.128914308547974,
145,14499855,5.167686700820923,char_lm/mem_unet_embed_warmup,45,100000,97103,0.146,2.1013855934143066,
150,14999850,2.7248218059539795,char_lm/mem_unet_embed_warmup,46,100000,97003,0.151,,2.0499016761779787
150,14999850,9.686934232711792,char_lm/mem_unet_embed_warmup,46,100000,97003,0.151,2.0003377914428713,
155,15499845,5.169124603271484,char_lm/mem_unet_embed_warmup,47,100000,96903,0.156,2.0263134956359865,
160,15999840,5.164422988891602,char_lm/mem_unet_embed_warmup,48,100000,96804,0.161,1.934602427482605,
165,16499835,5.165653705596924,char_lm/mem_unet_embed_warmup,49,100000,96704,0.166,1.9443038702011108,
170,16999830,5.84455418586731,char_lm/mem_unet_embed_warmup,50,100000,96604,0.171,1.9306395053863525,
175,17499825,5.167307138442993,char_lm/mem_unet_embed_warmup,51,100000,96504,0.176,1.8982125282287599,
180,17999820,5.16277551651001,char_lm/mem_unet_embed_warmup,52,100000,96404,0.181,1.8710386753082275,
185,18499815,5.160560846328735,char_lm/mem_unet_embed_warmup,53,100000,96304,0.186,1.9163833141326905,
190,18999810,5.1676623821258545,char_lm/mem_unet_embed_warmup,54,100000,96204,0.191,1.9465277433395385,
195,19499805,5.164477586746216,char_lm/mem_unet_embed_warmup,55,100000,96104,0.196,1.8640510797500611,
200,19999800,2.7217469215393066,char_lm/mem_unet_embed_warmup,56,100000,96005,0.201,,1.843564212322235
200,19999800,7.968513488769531,char_lm/mem_unet_embed_warmup,56,100000,96005,0.201,1.8752496480941772,
205,20499795,5.170792579650879,char_lm/mem_unet_embed_warmup,57,100000,95905,0.206,1.8069073915481568,
210,20999790,5.358025789260864,char_lm/mem_unet_embed_warmup,58,100000,95805,0.211,1.78555006980896,
215,21499785,5.168159246444702,char_lm/mem_unet_embed_warmup,59,100000,95705,0.216,1.7688104152679442,
220,21999780,5.871997833251953,char_lm/mem_unet_embed_warmup,60,100000,95605,0.221,1.825563406944275,
225,22499775,5.167328596115112,char_lm/mem_unet_embed_warmup,61,100000,95505,0.226,1.7790224313735963,
230,22999770,5.16928768157959,char_lm/mem_unet_embed_warmup,62,100000,95405,0.231,1.808679962158203,
235,23499765,5.1692259311676025,char_lm/mem_unet_embed_warmup,63,100000,95306,0.236,1.710209107398987,
240,23999760,5.16877555847168,char_lm/mem_unet_embed_warmup,64,100000,95206,0.241,1.7673128366470336,
245,24499755,5.166140794754028,char_lm/mem_unet_embed_warmup,65,100000,95106,0.246,1.7330968379974365,
250,24999750,2.7239511013031006,char_lm/mem_unet_embed_warmup,66,100000,95006,0.251,,1.7289759397506714
250,24999750,7.971628904342651,char_lm/mem_unet_embed_warmup,66,100000,95006,0.251,1.6785583019256591,
255,25499745,5.166277885437012,char_lm/mem_unet_embed_warmup,67,100000,94906,0.256,1.6719193935394288,
260,25999740,5.165040016174316,char_lm/mem_unet_embed_warmup,68,100000,94806,0.261,1.6761579513549805,
265,26499735,5.167582273483276,char_lm/mem_unet_embed_warmup,69,100000,94706,0.266,1.6833207607269287,
