step,seen_tokens,time_delta_s,run_name,local_window,global_window,mem_freq,lr_mult,train_loss,val_loss
5,499995,163.35451579093933,char_lm/mem_unet_embed_warmup_steep,18,100000,1021,0.006,4.818327903747559,
10,999990,7.343159914016724,char_lm/mem_unet_embed_warmup_steep,21,100000,1019,0.011,4.463208484649658,
15,1499985,5.924915313720703,char_lm/mem_unet_embed_warmup_steep,23,100000,1017,0.016,3.8370593070983885,
20,1999980,5.942804336547852,char_lm/mem_unet_embed_warmup_steep,26,100000,1015,0.021,3.3558616638183594,
25,2499975,6.033181190490723,char_lm/mem_unet_embed_warmup_steep,28,100000,1012,0.026,3.2189261436462404,
30,2999970,5.943748235702515,char_lm/mem_unet_embed_warmup_steep,31,100000,1010,0.031,3.3474312305450438,
35,3499965,5.923720598220825,char_lm/mem_unet_embed_warmup_steep,33,100000,1008,0.036,3.114122676849365,
40,3999960,5.2491350173950195,char_lm/mem_unet_embed_warmup_steep,36,100000,1006,0.041,2.9950658798217775,
45,4499955,5.242468357086182,char_lm/mem_unet_embed_warmup_steep,38,100000,1003,0.046,2.874663305282593,
50,4999950,21.07442569732666,char_lm/mem_unet_embed_warmup_steep,41,100000,1001,0.051,,2.748937654495239
50,4999950,27.741488695144653,char_lm/mem_unet_embed_warmup_steep,41,100000,1001,0.051,2.764867877960205,
55,5499945,5.24344277381897,char_lm/mem_unet_embed_warmup_steep,43,100000,999,0.056,2.761109209060669,
60,5999940,5.249685049057007,char_lm/mem_unet_embed_warmup_steep,46,100000,997,0.061,2.671889543533325,
65,6499935,5.243485450744629,char_lm/mem_unet_embed_warmup_steep,48,100000,994,0.066,2.6112315177917482,
70,6999930,5.252897262573242,char_lm/mem_unet_embed_warmup_steep,51,100000,992,0.071,2.58109769821167,
75,7499925,5.247448921203613,char_lm/mem_unet_embed_warmup_steep,53,100000,990,0.076,2.58036322593689,
80,7999920,5.266395092010498,char_lm/mem_unet_embed_warmup_steep,56,100000,988,0.081,2.5019493103027344,
85,8499915,5.2605016231536865,char_lm/mem_unet_embed_warmup_steep,58,100000,985,0.086,2.4187519550323486,
90,8999910,5.2772133350372314,char_lm/mem_unet_embed_warmup_steep,61,100000,983,0.091,2.383261489868164,
95,9499905,5.26383638381958,char_lm/mem_unet_embed_warmup_steep,63,100000,981,0.096,2.3301507949829103,
100,9999900,4.67016339302063,char_lm/mem_unet_embed_warmup_steep,66,100000,979,0.101,,2.27304847240448
100,9999900,10.049870729446411,char_lm/mem_unet_embed_warmup_steep,66,100000,979,0.101,2.253281593322754,
105,10499895,6.148246765136719,char_lm/mem_unet_embed_warmup_steep,68,100000,976,0.106,2.2429300785064696,
110,10999890,5.2748658657073975,char_lm/mem_unet_embed_warmup_steep,71,100000,974,0.111,2.193235731124878,
115,11499885,5.281771659851074,char_lm/mem_unet_embed_warmup_steep,73,100000,972,0.116,2.2317474842071534,
120,11999880,5.293781757354736,char_lm/mem_unet_embed_warmup_steep,76,100000,970,0.121,2.1950686454772947,
125,12499875,5.282215118408203,char_lm/mem_unet_embed_warmup_steep,79,100000,968,0.126,2.1540660858154297,
130,12999870,5.303937911987305,char_lm/mem_unet_embed_warmup_steep,81,100000,965,0.131,2.1404700756072996,
135,13499865,5.461357593536377,char_lm/mem_unet_embed_warmup_steep,84,100000,963,0.136,2.120580863952637,
140,13999860,5.29073429107666,char_lm/mem_unet_embed_warmup_steep,86,100000,961,0.141,2.1092366218566894,
145,14499855,5.293001651763916,char_lm/mem_unet_embed_warmup_steep,89,100000,959,0.146,2.0938722610473635,
150,14999850,4.474961280822754,char_lm/mem_unet_embed_warmup_steep,91,100000,956,0.151,,2.0113691687583923
150,14999850,9.874766826629639,char_lm/mem_unet_embed_warmup_steep,91,100000,956,0.151,1.989207673072815,
155,15499845,5.462650299072266,char_lm/mem_unet_embed_warmup_steep,94,100000,954,0.156,1.9985502243041993,
160,15999840,5.3096840381622314,char_lm/mem_unet_embed_warmup_steep,96,100000,952,0.161,1.9400814533233643,
165,16499835,5.295032024383545,char_lm/mem_unet_embed_warmup_steep,99,100000,950,0.166,1.9556012153625488,
170,16999830,5.29592490196228,char_lm/mem_unet_embed_warmup_steep,101,100000,947,0.171,1.9357070684432984,
175,17499825,5.316694021224976,char_lm/mem_unet_embed_warmup_steep,104,100000,945,0.176,1.8832924842834473,
180,17999820,5.316187620162964,char_lm/mem_unet_embed_warmup_steep,106,100000,943,0.181,1.8515741348266601,
185,18499815,6.016717195510864,char_lm/mem_unet_embed_warmup_steep,109,100000,941,0.186,1.9322093963623046,
190,18999810,5.32401180267334,char_lm/mem_unet_embed_warmup_steep,111,100000,938,0.191,1.9560290813446044,
195,19499805,5.3317036628723145,char_lm/mem_unet_embed_warmup_steep,114,100000,936,0.196,1.862251091003418,
200,19999800,3.863004446029663,char_lm/mem_unet_embed_warmup_steep,116,100000,934,0.201,,1.8375514268875122
200,19999800,10.131667613983154,char_lm/mem_unet_embed_warmup_steep,116,100000,934,0.201,1.8725058794021607,
205,20499795,5.334557294845581,char_lm/mem_unet_embed_warmup_steep,119,100000,932,0.206,1.8014190673828125,
210,20999790,6.80122709274292,char_lm/mem_unet_embed_warmup_steep,121,100000,929,0.211,1.7783561944961548,
215,21499785,5.3349926471710205,char_lm/mem_unet_embed_warmup_steep,124,100000,927,0.216,1.7561806201934815,
220,21999780,6.723785161972046,char_lm/mem_unet_embed_warmup_steep,126,100000,925,0.221,1.8161163806915284,
225,22499775,5.331467628479004,char_lm/mem_unet_embed_warmup_steep,129,100000,923,0.226,1.770519232749939,
230,22999770,5.670442819595337,char_lm/mem_unet_embed_warmup_steep,131,100000,920,0.231,1.8002832174301147,
235,23499765,5.755034685134888,char_lm/mem_unet_embed_warmup_steep,134,100000,918,0.236,1.6977632761001586,
240,23999760,5.7286670207977295,char_lm/mem_unet_embed_warmup_steep,136,100000,916,0.241,1.760362458229065,
245,24499755,5.741951942443848,char_lm/mem_unet_embed_warmup_steep,139,100000,914,0.246,1.7197257280349731,
250,24999750,3.648963689804077,char_lm/mem_unet_embed_warmup_steep,142,100000,912,0.251,,1.722280502319336
250,24999750,9.478140115737915,char_lm/mem_unet_embed_warmup_steep,142,100000,912,0.251,1.6704806327819823,
255,25499745,5.754962682723999,char_lm/mem_unet_embed_warmup_steep,144,100000,909,0.256,1.667090892791748,
260,25999740,5.7501912117004395,char_lm/mem_unet_embed_warmup_steep,147,100000,907,0.261,1.6694148778915405,
265,26499735,6.462326765060425,char_lm/mem_unet_embed_warmup_steep,149,100000,905,0.266,1.6665914535522461,
270,26999730,5.744600296020508,char_lm/mem_unet_embed_warmup_steep,152,100000,903,0.271,1.6320941209793092,
275,27499725,5.744889736175537,char_lm/mem_unet_embed_warmup_steep,154,100000,900,0.276,1.585837483406067,
280,27999720,5.760429620742798,char_lm/mem_unet_embed_warmup_steep,157,100000,898,0.281,1.6516910076141358,
285,28499715,5.7452309131622314,char_lm/mem_unet_embed_warmup_steep,159,100000,896,0.286,1.6344507932662964,
290,28999710,5.9345703125,char_lm/mem_unet_embed_warmup_steep,162,100000,894,0.291,1.63477783203125,
295,29499705,5.760205984115601,char_lm/mem_unet_embed_warmup_steep,164,100000,891,0.296,1.6625569343566895,
300,29999700,5.011043548583984,char_lm/mem_unet_embed_warmup_steep,167,100000,889,0.301,,1.6779014110565185
300,29999700,10.922972679138184,char_lm/mem_unet_embed_warmup_steep,167,100000,889,0.301,1.6625197649002075,
305,30499695,5.774275541305542,char_lm/mem_unet_embed_warmup_steep,169,100000,887,0.306,1.7273877143859864,
310,30999690,5.770209789276123,char_lm/mem_unet_embed_warmup_steep,172,100000,885,0.311,1.6320900678634644,
315,31499685,5.77694296836853,char_lm/mem_unet_embed_warmup_steep,174,100000,882,0.316,1.608577799797058,
