step,seen_tokens,time_delta_s,run_name,local_window,global_window,mem_freq,lr_mult,train_loss,val_loss
5,49995,8.589233636856079,char_lm/ts_finetune,1024,100000,128,0.13333333333333333,,1.3930389881134033
5,49995,28.243204832077026,char_lm/ts_finetune,1024,100000,128,0.13333333333333333,1.377679467201233,
10,99990,1.8822569847106934,char_lm/ts_finetune,1024,100000,128,0.24444444444444444,,1.3912783861160278
10,99990,3.537897825241089,char_lm/ts_finetune,1024,100000,128,0.24444444444444444,1.3754669904708863,
15,149985,1.846266508102417,char_lm/ts_finetune,1024,100000,128,0.35555555555555557,,1.38858163356781
15,149985,3.4618449211120605,char_lm/ts_finetune,1024,100000,128,0.35555555555555557,1.3716273307800293,
20,199980,1.8157424926757812,char_lm/ts_finetune,1024,100000,128,0.4666666666666667,,1.3850377798080444
20,199980,3.4362454414367676,char_lm/ts_finetune,1024,100000,128,0.4666666666666667,1.366149115562439,
25,249975,1.8758141994476318,char_lm/ts_finetune,1024,100000,128,0.5777777777777777,,1.380759596824646
25,249975,3.51488995552063,char_lm/ts_finetune,1024,100000,128,0.5777777777777777,1.3591789722442627,
30,299970,1.8694252967834473,char_lm/ts_finetune,1024,100000,128,0.6888888888888889,,1.3758189678192139
30,299970,3.517226219177246,char_lm/ts_finetune,1024,100000,128,0.6888888888888889,1.3508527517318725,
35,349965,1.8312020301818848,char_lm/ts_finetune,1024,100000,128,0.8,,1.370294213294983
35,349965,3.5729010105133057,char_lm/ts_finetune,1024,100000,128,0.8,1.3413101196289063,
40,399960,1.777977705001831,char_lm/ts_finetune,1024,100000,128,0.9111111111111111,,1.364274024963379
40,399960,3.4156148433685303,char_lm/ts_finetune,1024,100000,128,0.9111111111111111,1.3306936740875244,
45,449955,1.92696213722229,char_lm/ts_finetune,1024,100000,128,1.0,,1.3578182458877563
45,449955,3.533787727355957,char_lm/ts_finetune,1024,100000,128,1.0,1.3191102504730225,
