step,seen_tokens,time_delta_s,run_name,local_window,global_window,mem_freq,lr_mult,train_loss,val_loss
5,49995,8.55944561958313,char_lm/ts_from_scratch,1024,10000,128,0.6,,4.643351078033447
5,49995,28.479015588760376,char_lm/ts_from_scratch,1024,10000,128,0.6,4.209704200426738,
10,99990,1.9947483539581299,char_lm/ts_from_scratch,1024,10000,128,1.0,,5.328567028045654
10,99990,3.727470636367798,char_lm/ts_from_scratch,1024,10000,128,1.0,4.441199207305909,
15,149985,1.9876208305358887,char_lm/ts_from_scratch,1024,10000,128,1.0,,4.86078405380249
15,149985,3.625791311264038,char_lm/ts_from_scratch,1024,10000,128,1.0,4.518913841247558,
20,199980,1.8639142513275146,char_lm/ts_from_scratch,1024,10000,128,1.0,,4.446310520172119
20,199980,3.64188814163208,char_lm/ts_from_scratch,1024,10000,128,1.0,3.970893049240112,
25,249975,2.1595561504364014,char_lm/ts_from_scratch,1024,10000,128,1.0,,4.005083084106445
25,249975,3.88698410987854,char_lm/ts_from_scratch,1024,10000,128,1.0,3.6723474979400637,
30,299970,2.1928975582122803,char_lm/ts_from_scratch,1024,10000,128,1.0,,3.6575090885162354
30,299970,4.019592523574829,char_lm/ts_from_scratch,1024,10000,128,1.0,3.35105185508728,
35,349965,2.3331522941589355,char_lm/ts_from_scratch,1024,10000,128,1.0,,3.694282293319702
35,349965,4.20177698135376,char_lm/ts_from_scratch,1024,10000,128,1.0,3.083695983886719,
40,399960,2.2136483192443848,char_lm/ts_from_scratch,1024,10000,128,1.0,,3.4421169757843018
40,399960,4.030019998550415,char_lm/ts_from_scratch,1024,10000,128,1.0,2.9140633583068847,
45,449955,2.330509901046753,char_lm/ts_from_scratch,1024,10000,128,1.0,,3.4746885299682617
45,449955,4.219856262207031,char_lm/ts_from_scratch,1024,10000,128,1.0,2.816610908508301,
50,499950,2.2995223999023438,char_lm/ts_from_scratch,1024,10000,128,1.0,,3.4493870735168457
50,499950,4.1366353034973145,char_lm/ts_from_scratch,1024,10000,128,1.0,2.7743337631225584,
55,549945,1.995692491531372,char_lm/ts_from_scratch,1024,10000,128,1.0,,3.5411951541900635
55,549945,3.893925189971924,char_lm/ts_from_scratch,1024,10000,128,1.0,2.7282039165496825,
60,599940,2.2628109455108643,char_lm/ts_from_scratch,1024,10000,128,1.0,,3.5467729568481445
60,599940,4.038882255554199,char_lm/ts_from_scratch,1024,10000,128,1.0,2.748490333557129,
65,649935,1.9825527667999268,char_lm/ts_from_scratch,1024,10000,128,1.0,,3.5688490867614746
65,649935,3.6651206016540527,char_lm/ts_from_scratch,1024,10000,128,1.0,2.6910399436950683,
70,699930,2.25563383102417,char_lm/ts_from_scratch,1024,10000,128,1.0,,3.647193670272827
70,699930,3.9202170372009277,char_lm/ts_from_scratch,1024,10000,128,1.0,2.6214108943939207,
75,749925,1.9981725215911865,char_lm/ts_from_scratch,1024,10000,128,1.0,,3.6422982215881348
75,749925,3.8328936100006104,char_lm/ts_from_scratch,1024,10000,128,1.0,2.6690887928009035,
80,799920,2.0467560291290283,char_lm/ts_from_scratch,1024,10000,128,1.0,,3.614346504211426
80,799920,3.8300387859344482,char_lm/ts_from_scratch,1024,10000,128,1.0,2.596316957473755,
85,849915,2.0889899730682373,char_lm/ts_from_scratch,1024,10000,128,0.75,,3.5675997734069824
85,849915,3.775423526763916,char_lm/ts_from_scratch,1024,10000,128,0.75,2.499074935913086,
90,899910,2.236602783203125,char_lm/ts_from_scratch,1024,10000,128,0.5,,3.733582019805908
90,899910,4.061075925827026,char_lm/ts_from_scratch,1024,10000,128,0.5,2.3890038967132567,
95,949905,2.0037930011749268,char_lm/ts_from_scratch,1024,10000,128,0.25,,3.8075978755950928
95,949905,3.6894001960754395,char_lm/ts_from_scratch,1024,10000,128,0.25,2.3291665077209474,
