step,seen_tokens,time_delta_s,run_name,lr_mult,train_loss,val_loss
2,19998,9.832709550857544,debug,0.015,4.845154921213786,
4,39996,5.666200876235962,debug,0.025,4.795843124389648,
6,59994,5.658918380737305,debug,0.035,4.670624732971191,
8,79992,5.658819198608398,debug,0.045,4.452770709991455,
10,99990,11.166997909545898,debug,0.055,,4.054172515869141
10,99990,16.864314794540405,debug,0.055,4.201540231704712,
12,119988,5.853013277053833,debug,0.065,3.9751282930374146,
14,139986,5.66957426071167,debug,0.075,3.7707021236419678,
16,159984,5.696606636047363,debug,0.085,3.60095477104187,
18,179982,5.6771399974823,debug,0.095,3.4814196825027466,
20,199980,10.71287202835083,debug,0.105,,3.450860619544983
20,199980,16.424707651138306,debug,0.105,3.395825147628784,
22,219978,5.684338569641113,debug,0.115,3.3341612815856934,
24,239976,5.667757272720337,debug,0.125,3.35951828956604,
26,259974,5.689058303833008,debug,0.135,3.291653037071228,
28,279972,5.836241960525513,debug,0.145,3.283571720123291,
30,299970,10.695002794265747,debug,0.155,,3.402264642715454
30,299970,16.376363039016724,debug,0.155,3.3476914167404175,
32,319968,5.698961973190308,debug,0.165,3.3610841035842896,
34,339966,5.66944432258606,debug,0.175,3.407960295677185,
36,359964,5.668522119522095,debug,0.185,3.3830424547195435,
38,379962,5.675561189651489,debug,0.195,3.312482476234436,
40,399960,10.721394777297974,debug,0.205,,3.393884515762329
40,399960,16.43760871887207,debug,0.205,3.3167308568954468,
42,419958,5.897353410720825,debug,0.215,3.3473726511001587,
44,439956,5.663214683532715,debug,0.225,3.42010235786438,
46,459954,5.670619249343872,debug,0.235,3.378908395767212,
48,479952,5.669693946838379,debug,0.245,3.3441662788391113,
50,499950,10.719642639160156,debug,0.255,,3.3749054193496706
50,499950,16.41968321800232,debug,0.255,3.302865982055664,
52,519948,5.687121152877808,debug,0.265,3.3972811698913574,
54,539946,5.685334205627441,debug,0.275,3.398579955101013,
56,559944,5.687133073806763,debug,0.285,3.391161322593689,
58,579942,5.85016393661499,debug,0.295,3.391695022583008,
60,599940,10.71850037574768,debug,0.305,,4.966665744781494
60,599940,16.427917003631592,debug,0.305,3.3015832901000977,
62,619938,5.6708598136901855,debug,0.315,4.158697247505188,
64,639936,5.667060375213623,debug,0.325,3.883390188217163,
66,659934,5.667946815490723,debug,0.335,3.383298873901367,
68,679932,5.678134918212891,debug,0.345,3.3378875255584717,
70,699930,10.727022886276245,debug,0.355,,3.4578397274017334
70,699930,16.440226554870605,debug,0.355,3.302632451057434,
72,719928,5.885697841644287,debug,0.365,3.404797911643982,
74,739926,5.6758904457092285,debug,0.375,3.3757611513137817,
76,759924,5.6565821170806885,debug,0.385,3.343608021736145,
78,779922,5.710031032562256,debug,0.395,3.311660885810852,
80,799920,10.734055519104004,debug,0.405,,3.438600850105286
80,799920,16.455902338027954,debug,0.405,3.3466914892196655,
82,819918,5.673295736312866,debug,0.415,3.359169602394104,
84,839916,5.684885263442993,debug,0.425,3.3905197381973267,
86,859914,5.664198160171509,debug,0.435,3.3911041021347046,
88,879912,5.681251049041748,debug,0.445,3.36784029006958,
