step,seen_tokens,time_delta_s,run_name,lr_mult,train_loss,val_loss
2,19998,30.683885097503662,debug,0.015,4.84519640604655,
4,39996,4.604980707168579,debug,0.025,4.796045541763306,
6,59994,4.613922834396362,debug,0.035,4.671064376831055,
8,79992,4.6076531410217285,debug,0.045,4.453831672668457,
10,99990,27.361655235290527,debug,0.055,,4.05550217628479
10,99990,32.01718473434448,debug,0.055,4.2035393714904785,
12,119988,4.613391160964966,debug,0.065,3.9765647649765015,
14,139986,4.61332631111145,debug,0.075,3.7713069915771484,
16,159984,4.608704566955566,debug,0.085,3.600879192352295,
18,179982,4.61662220954895,debug,0.095,3.481265664100647,
20,199980,17.892330169677734,debug,0.105,,3.4511218786239626
20,199980,22.546488046646118,debug,0.105,3.3957985639572144,
22,219978,4.612284421920776,debug,0.115,3.3343191146850586,
24,239976,4.605486869812012,debug,0.125,3.3593268394470215,
26,259974,4.6115992069244385,debug,0.135,3.2914215326309204,
28,279972,4.610047817230225,debug,0.145,3.2835958003997803,
30,299970,17.904327869415283,debug,0.155,,3.4023788213729858
30,299970,22.547400951385498,debug,0.155,3.347634196281433,
32,319968,4.621065378189087,debug,0.165,3.360997438430786,
34,339966,4.613077878952026,debug,0.175,3.4080705642700195,
36,359964,4.610409498214722,debug,0.185,3.382995843887329,
38,379962,4.606612205505371,debug,0.195,3.312200427055359,
40,399960,17.90277934074402,debug,0.205,,3.3936790943145754
40,399960,22.549860954284668,debug,0.205,3.3168336153030396,
42,419958,4.610150098800659,debug,0.215,3.3472888469696045,
44,439956,4.615219354629517,debug,0.225,3.4196470975875854,
46,459954,4.6108222007751465,debug,0.235,3.37836229801178,
48,479952,4.612185716629028,debug,0.245,3.3438280820846558,
50,499950,17.885884761810303,debug,0.255,,3.3746484756469726
50,499950,22.541112184524536,debug,0.255,3.3019365072250366,
52,519948,4.61590838432312,debug,0.265,3.3969240188598633,
54,539946,4.610141754150391,debug,0.275,3.396744728088379,
