step,seen_tokens,time_delta_s,run_name,lr_mult,train_loss,val_loss
50,3199950,172.24210023880005,mem32_147M_2048_b64k_s30k,0.051,3.539828431372549,
100,6399900,28.22540521621704,mem32_147M_2048_b64k_s30k,0.101,2.8396875,
150,9599850,22.929160118103027,mem32_147M_2048_b64k_s30k,0.151,2.543125,
200,12799800,20.877329111099243,mem32_147M_2048_b64k_s30k,0.201,2.2846875,
250,15999750,20.83530068397522,mem32_147M_2048_b64k_s30k,0.251,2.06296875,
300,19199700,20.860729455947876,mem32_147M_2048_b64k_s30k,0.301,1.91453125,
350,22399650,20.937450885772705,mem32_147M_2048_b64k_s30k,0.351,1.79078125,
400,25599600,20.972553968429565,mem32_147M_2048_b64k_s30k,0.401,1.72484375,
450,28799550,20.836361169815063,mem32_147M_2048_b64k_s30k,0.451,1.6509375,
500,31999500,53.010331869125366,mem32_147M_2048_b64k_s30k,0.501,,1.582265625
500,31999500,74.08379697799683,mem32_147M_2048_b64k_s30k,0.501,1.61421875,
550,35199450,20.89946150779724,mem32_147M_2048_b64k_s30k,0.551,1.5821875,
600,38399400,20.979612588882446,mem32_147M_2048_b64k_s30k,0.601,1.58953125,
650,41599350,20.8375883102417,mem32_147M_2048_b64k_s30k,0.651,1.5175,
700,44799300,20.97889280319214,mem32_147M_2048_b64k_s30k,0.701,1.51984375,
750,47999250,23.019025087356567,mem32_147M_2048_b64k_s30k,0.751,1.4915625,
800,51199200,20.90695095062256,mem32_147M_2048_b64k_s30k,0.801,1.4759375,
850,54399150,20.913541316986084,mem32_147M_2048_b64k_s30k,0.851,1.443125,
900,57599100,20.90472936630249,mem32_147M_2048_b64k_s30k,0.901,1.45546875,
950,60799050,20.917492389678955,mem32_147M_2048_b64k_s30k,0.951,1.4375,
1000,63999000,16.27554178237915,mem32_147M_2048_b64k_s30k,1.0,,1.4165625
1000,63999000,37.32702851295471,mem32_147M_2048_b64k_s30k,1.0,1.4109375,
1050,67198950,20.89194130897522,mem32_147M_2048_b64k_s30k,1.0,1.39125,
1100,70398900,20.95417022705078,mem32_147M_2048_b64k_s30k,1.0,1.40609375,
1150,73598850,23.02080988883972,mem32_147M_2048_b64k_s30k,1.0,1.35921875,
1200,76798800,20.93190097808838,mem32_147M_2048_b64k_s30k,1.0,1.36625,
1250,79998750,20.90500569343567,mem32_147M_2048_b64k_s30k,1.0,1.3640625,
1300,83198700,20.905694484710693,mem32_147M_2048_b64k_s30k,1.0,1.34765625,
1350,86398650,20.92770218849182,mem32_147M_2048_b64k_s30k,1.0,1.33609375,
1400,89598600,20.931467533111572,mem32_147M_2048_b64k_s30k,1.0,1.31296875,
1450,92798550,20.929471492767334,mem32_147M_2048_b64k_s30k,1.0,1.28859375,
1500,95998500,16.27993607521057,mem32_147M_2048_b64k_s30k,1.0,,1.2525
1500,95998500,37.38954138755798,mem32_147M_2048_b64k_s30k,1.0,1.28203125,
1550,99198450,20.903337001800537,mem32_147M_2048_b64k_s30k,1.0,1.2240625,
1600,102398400,20.873644590377808,mem32_147M_2048_b64k_s30k,1.0,1.21140625,
1650,105598350,21.016477823257446,mem32_147M_2048_b64k_s30k,1.0,1.18828125,
1700,108798300,20.928658723831177,mem32_147M_2048_b64k_s30k,1.0,1.18796875,
1750,111998250,20.934742212295532,mem32_147M_2048_b64k_s30k,1.0,1.16453125,
1800,115198200,20.926986694335938,mem32_147M_2048_b64k_s30k,1.0,1.16625,
1850,118398150,20.942059993743896,mem32_147M_2048_b64k_s30k,1.0,1.15234375,
1900,121598100,20.98022961616516,mem32_147M_2048_b64k_s30k,1.0,1.15921875,
1950,124798050,20.893426656723022,mem32_147M_2048_b64k_s30k,1.0,1.11765625,
2000,127998000,17.33052349090576,mem32_147M_2048_b64k_s30k,1.0,,1.116484375
2000,127998000,38.43712067604065,mem32_147M_2048_b64k_s30k,1.0,1.13015625,
2050,131197950,20.8846435546875,mem32_147M_2048_b64k_s30k,1.0,1.120625,
2100,134397900,20.817435264587402,mem32_147M_2048_b64k_s30k,1.0,1.10828125,
2150,137597850,20.802065134048462,mem32_147M_2048_b64k_s30k,1.0,1.101875,
2200,140797800,20.745736122131348,mem32_147M_2048_b64k_s30k,1.0,1.108828125,
2250,143997750,20.973155736923218,mem32_147M_2048_b64k_s30k,1.0,1.11171875,
2300,147197700,20.912352085113525,mem32_147M_2048_b64k_s30k,1.0,1.09578125,
2350,150397650,20.860973596572876,mem32_147M_2048_b64k_s30k,1.0,1.093203125,
2400,153597600,20.897706270217896,mem32_147M_2048_b64k_s30k,1.0,1.072578125,
