step,seen_tokens,time_delta_s,run_name,lr_mult,train_loss,val_loss
50,3199950,223.08133792877197,mem64_147M_1024_b64k_s30k,0.051,3.5410539215686274,
100,6399900,17.719592571258545,mem64_147M_1024_b64k_s30k,0.101,2.8346875,
150,9599850,19.84375762939453,mem64_147M_1024_b64k_s30k,0.151,2.5478125,
200,12799800,17.716016054153442,mem64_147M_1024_b64k_s30k,0.201,2.2828125,
250,15999750,19.886444330215454,mem64_147M_1024_b64k_s30k,0.251,2.0875,
300,19199700,18.1582133769989,mem64_147M_1024_b64k_s30k,0.301,1.913125,
350,22399650,17.7059166431427,mem64_147M_1024_b64k_s30k,0.351,1.78578125,
400,25599600,17.69173574447632,mem64_147M_1024_b64k_s30k,0.401,1.71984375,
450,28799550,17.69809126853943,mem64_147M_1024_b64k_s30k,0.451,1.64984375,
500,31999500,50.3616304397583,mem64_147M_1024_b64k_s30k,0.501,,1.608828125
500,31999500,68.26740741729736,mem64_147M_1024_b64k_s30k,0.501,1.58703125,
550,35199450,17.70174241065979,mem64_147M_1024_b64k_s30k,0.551,1.570625,
600,38399400,17.703911066055298,mem64_147M_1024_b64k_s30k,0.601,1.545625,
650,41599350,17.666257858276367,mem64_147M_1024_b64k_s30k,0.651,1.53265625,
700,44799300,20.004327535629272,mem64_147M_1024_b64k_s30k,0.701,1.51265625,
750,47999250,17.696282386779785,mem64_147M_1024_b64k_s30k,0.751,1.50390625,
800,51199200,17.668132781982422,mem64_147M_1024_b64k_s30k,0.801,1.4703125,
850,54399150,17.690559148788452,mem64_147M_1024_b64k_s30k,0.851,1.4415625,
900,57599100,17.73556160926819,mem64_147M_1024_b64k_s30k,0.901,1.45140625,
950,60799050,17.680881023406982,mem64_147M_1024_b64k_s30k,0.951,1.4315625,
1000,63999000,16.523353338241577,mem64_147M_1024_b64k_s30k,1.0,,1.38890625
1000,63999000,34.42056322097778,mem64_147M_1024_b64k_s30k,1.0,1.42921875,
1050,67198950,17.697937726974487,mem64_147M_1024_b64k_s30k,1.0,1.39109375,
1100,70398900,17.673744440078735,mem64_147M_1024_b64k_s30k,1.0,1.41578125,
1150,73598850,17.67697286605835,mem64_147M_1024_b64k_s30k,1.0,1.38765625,
1200,76798800,17.705605030059814,mem64_147M_1024_b64k_s30k,1.0,1.36046875,
1250,79998750,17.708558559417725,mem64_147M_1024_b64k_s30k,1.0,1.37125,
1300,83198700,17.696760416030884,mem64_147M_1024_b64k_s30k,1.0,1.32703125,
1350,86398650,17.71136164665222,mem64_147M_1024_b64k_s30k,1.0,1.351875,
1400,89598600,17.707326889038086,mem64_147M_1024_b64k_s30k,1.0,1.33796875,
1450,92798550,17.718766450881958,mem64_147M_1024_b64k_s30k,1.0,1.31828125,
1500,95998500,14.508612394332886,mem64_147M_1024_b64k_s30k,1.0,,1.249921875
1500,95998500,32.41790843009949,mem64_147M_1024_b64k_s30k,1.0,1.295,
1550,99198450,17.694348096847534,mem64_147M_1024_b64k_s30k,1.0,1.25421875,
1600,102398400,17.70839524269104,mem64_147M_1024_b64k_s30k,1.0,1.24953125,
1650,105598350,17.715935230255127,mem64_147M_1024_b64k_s30k,1.0,1.21265625,
1700,108798300,17.702695846557617,mem64_147M_1024_b64k_s30k,1.0,1.181875,
1750,111998250,17.695804595947266,mem64_147M_1024_b64k_s30k,1.0,1.16984375,
1800,115198200,17.705286979675293,mem64_147M_1024_b64k_s30k,1.0,1.15734375,
1850,118398150,17.715282201766968,mem64_147M_1024_b64k_s30k,1.0,1.16421875,
1900,121598100,17.665061712265015,mem64_147M_1024_b64k_s30k,1.0,1.16703125,
1950,124798050,17.722597360610962,mem64_147M_1024_b64k_s30k,1.0,1.14640625,
2000,127998000,14.560107707977295,mem64_147M_1024_b64k_s30k,1.0,,1.1246875
