step,seen_tokens,time_delta_s,run_name,lr_mult,train_loss,val_loss
50,3199950,127.40604376792908,window_147M_1024_b64k_s30k,0.051,3.5395220588235294,
100,6399900,17.342179536819458,window_147M_1024_b64k_s30k,0.101,2.8475,
150,9599850,16.413582801818848,window_147M_1024_b64k_s30k,0.151,2.559375,
200,12799800,16.370121479034424,window_147M_1024_b64k_s30k,0.201,2.3228125,
250,15999750,16.38344120979309,window_147M_1024_b64k_s30k,0.251,2.140625,
300,19199700,16.36503839492798,window_147M_1024_b64k_s30k,0.301,1.9403125,
350,22399650,16.369665145874023,window_147M_1024_b64k_s30k,0.351,1.834375,
400,25599600,16.387819528579712,window_147M_1024_b64k_s30k,0.401,1.77625,
450,28799550,16.380064964294434,window_147M_1024_b64k_s30k,0.451,1.68390625,
500,31999500,40.35783791542053,window_147M_1024_b64k_s30k,0.501,,1.59671875
500,31999500,56.927549600601196,window_147M_1024_b64k_s30k,0.501,1.625625,
550,35199450,16.324568510055542,window_147M_1024_b64k_s30k,0.551,1.5975,
600,38399400,16.384126663208008,window_147M_1024_b64k_s30k,0.601,1.57765625,
650,41599350,16.355613946914673,window_147M_1024_b64k_s30k,0.651,1.53625,
700,44799300,16.36991024017334,window_147M_1024_b64k_s30k,0.701,1.53140625,
750,47999250,16.374051570892334,window_147M_1024_b64k_s30k,0.751,1.5025,
800,51199200,16.382668495178223,window_147M_1024_b64k_s30k,0.801,1.4690625,
850,54399150,16.367599964141846,window_147M_1024_b64k_s30k,0.851,1.435625,
900,57599100,16.38715958595276,window_147M_1024_b64k_s30k,0.901,1.44078125,
950,60799050,16.376988887786865,window_147M_1024_b64k_s30k,0.951,1.4309375,
1000,63999000,13.121606588363647,window_147M_1024_b64k_s30k,1.0,,1.4359375
1000,63999000,29.65062141418457,window_147M_1024_b64k_s30k,1.0,1.41953125,
1050,67198950,16.41017246246338,window_147M_1024_b64k_s30k,1.0,1.43984375,
1100,70398900,16.377184629440308,window_147M_1024_b64k_s30k,1.0,1.390625,
1150,73598850,16.403860807418823,window_147M_1024_b64k_s30k,1.0,1.38984375,
1200,76798800,16.384931087493896,window_147M_1024_b64k_s30k,1.0,1.37203125,
1250,79998750,16.429462909698486,window_147M_1024_b64k_s30k,1.0,1.37453125,
1300,83198700,16.379697799682617,window_147M_1024_b64k_s30k,1.0,1.35859375,
1350,86398650,16.4080708026886,window_147M_1024_b64k_s30k,1.0,1.32875,
1400,89598600,16.43792963027954,window_147M_1024_b64k_s30k,1.0,1.33859375,
1450,92798550,16.397175312042236,window_147M_1024_b64k_s30k,1.0,1.315625,
1500,95998500,13.169910669326782,window_147M_1024_b64k_s30k,1.0,,1.314375
1500,95998500,29.855579614639282,window_147M_1024_b64k_s30k,1.0,1.31640625,
1550,99198450,16.44454860687256,window_147M_1024_b64k_s30k,1.0,1.3103125,
1600,102398400,16.468147039413452,window_147M_1024_b64k_s30k,1.0,1.33109375,
1650,105598350,16.47907829284668,window_147M_1024_b64k_s30k,1.0,1.2790625,
1700,108798300,16.426438570022583,window_147M_1024_b64k_s30k,1.0,1.28578125,
1750,111998250,16.436869382858276,window_147M_1024_b64k_s30k,1.0,1.25859375,
1800,115198200,16.430482625961304,window_147M_1024_b64k_s30k,1.0,1.21953125,
1850,118398150,16.441255807876587,window_147M_1024_b64k_s30k,1.0,1.20359375,
1900,121598100,16.433316946029663,window_147M_1024_b64k_s30k,1.0,1.195,
1950,124798050,16.38567090034485,window_147M_1024_b64k_s30k,1.0,1.17703125,
