step,seen_tokens,time_delta_s,run_name,local_window,global_window,mem_freq,lr_mult,train_loss,val_loss,train_perplexity,val_perplexity,grad_norm
0,0,171.88926553726196,smollm-135M-50k/baseline,8192,50000,1000000,0.0005,2.9474740028381348,,19.05775260925293,,0.5234375
1,49999,91.12039041519165,smollm-135M-50k/baseline,8192,50000,1000000,0.001,2.8113365173339844,,16.632131576538086,,0.478515625
2,99998,0.9763026237487793,smollm-135M-50k/baseline,8192,50000,1000000,0.0015,2.7719991207122803,,15.990569114685059,,0.5390625
3,149997,0.9796314239501953,smollm-135M-50k/baseline,8192,50000,1000000,0.002,2.778613328933716,,16.0966854095459,,0.55078125
4,199996,0.984999418258667,smollm-135M-50k/baseline,8192,50000,1000000,0.0025,2.859297275543213,,17.449260711669922,,0.5703125
5,249995,0.9483516216278076,smollm-135M-50k/baseline,8192,50000,1000000,0.003,2.9014642238616943,,18.200775146484375,,0.5859375
6,299994,0.9612312316894531,smollm-135M-50k/baseline,8192,50000,1000000,0.0035,2.8174893856048584,,16.734783172607422,,0.490234375
7,349993,0.9892091751098633,smollm-135M-50k/baseline,8192,50000,1000000,0.004,3.0303025245666504,,20.703495025634766,,0.49609375
8,399992,1.0165555477142334,smollm-135M-50k/baseline,8192,50000,1000000,0.0045,2.972623586654663,,19.54312515258789,,1.1640625
9,449991,0.9972436428070068,smollm-135M-50k/baseline,8192,50000,1000000,0.005,2.729100227355957,,15.319097518920898,,1.1875
10,499990,0.9905903339385986,smollm-135M-50k/baseline,8192,50000,1000000,0.0055,2.962401866912842,,19.344379425048828,,0.51953125
11,549989,1.0524141788482666,smollm-135M-50k/baseline,8192,50000,1000000,0.006,2.8549067974090576,,17.372817993164062,,0.494140625
12,599988,1.1213276386260986,smollm-135M-50k/baseline,8192,50000,1000000,0.0065,2.8148629665374756,,16.690889358520508,,4.03125
13,649987,1.0724201202392578,smollm-135M-50k/baseline,8192,50000,1000000,0.007,2.635502338409424,,13.950318336486816,,0.984375
14,699986,1.0021767616271973,smollm-135M-50k/baseline,8192,50000,1000000,0.0075,2.856890916824341,,17.40732192993164,,0.474609375
15,749985,0.9735841751098633,smollm-135M-50k/baseline,8192,50000,1000000,0.008,2.938145637512207,,18.880802154541016,,0.5390625
16,799984,0.9495422840118408,smollm-135M-50k/baseline,8192,50000,1000000,0.0085,2.941931962966919,,18.95242691040039,,0.55859375
17,849983,0.9646029472351074,smollm-135M-50k/baseline,8192,50000,1000000,0.009,2.9239697456359863,,18.61503791809082,,0.494140625
18,899982,0.9572968482971191,smollm-135M-50k/baseline,8192,50000,1000000,0.0095,2.891925096511841,,18.027982711791992,,0.4921875
19,949981,0.956202507019043,smollm-135M-50k/baseline,8192,50000,1000000,0.01,2.9423811435699463,,18.960941314697266,,0.53125
20,999980,0.9785964488983154,smollm-135M-50k/baseline,8192,50000,1000000,0.0105,2.901052474975586,,18.193283081054688,,0.486328125
21,1049979,1.0624406337738037,smollm-135M-50k/baseline,8192,50000,1000000,0.011,2.8107500076293945,,16.62238121032715,,0.46484375
22,1099978,1.028352975845337,smollm-135M-50k/baseline,8192,50000,1000000,0.0115,2.8437156677246094,,17.179479598999023,,0.494140625
23,1149977,1.0179767608642578,smollm-135M-50k/baseline,8192,50000,1000000,0.012,2.9989261627197266,,20.063980102539062,,0.56640625
24,1199976,0.948101282119751,smollm-135M-50k/baseline,8192,50000,1000000,0.0125,3.037484884262085,,20.85272979736328,,0.61328125
25,1249975,1.044693946838379,smollm-135M-50k/baseline,8192,50000,1000000,0.013,2.8593268394470215,,17.44977569580078,,0.482421875
26,1299974,1.0295689105987549,smollm-135M-50k/baseline,8192,50000,1000000,0.0135,2.7523093223571777,,15.678797721862793,,0.474609375
27,1349973,0.9703569412231445,smollm-135M-50k/baseline,8192,50000,1000000,0.014,2.819559097290039,,16.769454956054688,,0.6015625
28,1399972,0.9661209583282471,smollm-135M-50k/baseline,8192,50000,1000000,0.0145,2.9889204502105713,,19.864227294921875,,0.53125
29,1449971,0.9877774715423584,smollm-135M-50k/baseline,8192,50000,1000000,0.015,2.919440507888794,,18.530916213989258,,0.5
30,1499970,0.9673933982849121,smollm-135M-50k/baseline,8192,50000,1000000,0.0155,2.8634791374206543,,17.522384643554688,,0.5078125
31,1549969,0.9628844261169434,smollm-135M-50k/baseline,8192,50000,1000000,0.016,2.808767795562744,,16.58946418762207,,0.484375
32,1599968,0.9771525859832764,smollm-135M-50k/baseline,8192,50000,1000000,0.0165,2.574723243713379,,13.127683639526367,,0.478515625
33,1649967,1.0757999420166016,smollm-135M-50k/baseline,8192,50000,1000000,0.017,2.5344669818878174,,12.609707832336426,,0.478515625
34,1699966,1.0657649040222168,smollm-135M-50k/baseline,8192,50000,1000000,0.0175,2.7540106773376465,,15.705495834350586,,0.455078125
35,1749965,0.9623651504516602,smollm-135M-50k/baseline,8192,50000,1000000,0.018,2.795180559158325,,16.365583419799805,,0.47265625
36,1799964,0.9580264091491699,smollm-135M-50k/baseline,8192,50000,1000000,0.0185,2.805270195007324,,16.53154182434082,,0.48046875
37,1849963,0.9659819602966309,smollm-135M-50k/baseline,8192,50000,1000000,0.019,2.9572250843048096,,19.244495391845703,,0.53125
38,1899962,0.973442792892456,smollm-135M-50k/baseline,8192,50000,1000000,0.0195,2.8719770908355713,,17.67192268371582,,0.5390625
39,1949961,0.9678757190704346,smollm-135M-50k/baseline,8192,50000,1000000,0.02,2.723276376724243,,15.230140686035156,,0.515625
40,1999960,0.9438591003417969,smollm-135M-50k/baseline,8192,50000,1000000,0.0205,2.6917941570281982,,14.75813102722168,,0.56640625
41,2049959,0.9733715057373047,smollm-135M-50k/baseline,8192,50000,1000000,0.021,2.7866175174713135,,16.226041793823242,,0.5390625
42,2099958,1.0253345966339111,smollm-135M-50k/baseline,8192,50000,1000000,0.0215,2.958249092102051,,19.264211654663086,,0.50390625
43,2149957,1.0426344871520996,smollm-135M-50k/baseline,8192,50000,1000000,0.022,3.0215110778808594,,20.522279739379883,,0.49609375
44,2199956,0.9650156497955322,smollm-135M-50k/baseline,8192,50000,1000000,0.0225,2.91943621635437,,18.530838012695312,,0.55078125
45,2249955,0.9264640808105469,smollm-135M-50k/baseline,8192,50000,1000000,0.023,2.8641371726989746,,17.533918380737305,,0.60546875
46,2299954,0.9330630302429199,smollm-135M-50k/baseline,8192,50000,1000000,0.0235,2.924309015274048,,18.621355056762695,,0.640625
47,2349953,0.9508585929870605,smollm-135M-50k/baseline,8192,50000,1000000,0.024,2.8666718006134033,,17.57841682434082,,0.62109375
48,2399952,0.9437699317932129,smollm-135M-50k/baseline,8192,50000,1000000,0.0245,2.813237428665161,,16.66377830505371,,0.5546875
49,2449951,0.9509553909301758,smollm-135M-50k/baseline,8192,50000,1000000,0.025,2.786149501800537,,16.21845054626465,,0.58203125
50,2499950,45.79307675361633,smollm-135M-50k/baseline,8192,50000,1000000,0.0255,,2.9015625,,18.202564239501953,
50,2499950,46.87407112121582,smollm-135M-50k/baseline,8192,50000,1000000,0.0255,2.8152642250061035,,16.697587966918945,,0.52734375
51,2549949,1.1827359199523926,smollm-135M-50k/baseline,8192,50000,1000000,0.026,2.949350595474243,,19.093549728393555,,0.51171875
52,2599948,0.9810318946838379,smollm-135M-50k/baseline,8192,50000,1000000,0.0265,2.9567251205444336,,19.23487663269043,,0.5546875
