step,seen_tokens,time_delta_s,run_name,local_window,global_window,mem_freq,lr_mult,train_loss,val_loss,train_perplexity,val_perplexity,grad_norm
0,0,172.22946953773499,smollm-135M-50k/mem32,8192,50000,32,0.0005,2.9870235919952393,,19.826581954956055,,0.7734375
1,49999,91.49433970451355,smollm-135M-50k/mem32,8192,50000,32,0.001,2.8527238368988037,,17.33493423461914,,0.796875
2,99998,0.7732863426208496,smollm-135M-50k/mem32,8192,50000,32,0.0015,2.8096296787261963,,16.603769302368164,,0.7421875
3,149997,0.732837438583374,smollm-135M-50k/mem32,8192,50000,32,0.002,2.817955732345581,,16.742589950561523,,0.70703125
4,199996,0.7826442718505859,smollm-135M-50k/mem32,8192,50000,32,0.0025,2.901043653488159,,18.19312286376953,,0.80859375
5,249995,0.7012858390808105,smollm-135M-50k/mem32,8192,50000,32,0.003,2.9376511573791504,,18.87146759033203,,0.80078125
6,299994,0.7216012477874756,smollm-135M-50k/mem32,8192,50000,32,0.0035,2.8559911251068115,,17.391666412353516,,0.74609375
7,349993,0.7699549198150635,smollm-135M-50k/mem32,8192,50000,32,0.004,3.0781502723693848,,21.71819305419922,,0.82421875
8,399992,0.8233890533447266,smollm-135M-50k/mem32,8192,50000,32,0.0045,3.01910662651062,,20.472993850708008,,1.4296875
9,449991,0.7934961318969727,smollm-135M-50k/mem32,8192,50000,32,0.005,2.7685272693634033,,15.935148239135742,,1.4296875
10,499990,0.7851686477661133,smollm-135M-50k/mem32,8192,50000,32,0.0055,3.003537178039551,,20.156709671020508,,0.76171875
11,549989,0.8650722503662109,smollm-135M-50k/mem32,8192,50000,32,0.006,2.906984329223633,,18.301523208618164,,0.74609375
12,599988,1.1388466358184814,smollm-135M-50k/mem32,8192,50000,32,0.0065,4.6320953369140625,,102.72908782958984,,15.3125
13,649987,0.8959555625915527,smollm-135M-50k/mem32,8192,50000,32,0.007,3.229196786880493,,25.25935935974121,,4.03125
14,699986,0.7939465045928955,smollm-135M-50k/mem32,8192,50000,32,0.0075,2.9003257751464844,,18.18006706237793,,0.78125
15,749985,0.7609646320343018,smollm-135M-50k/mem32,8192,50000,32,0.008,2.98050856590271,,19.697832107543945,,0.8046875
16,799984,0.6890585422515869,smollm-135M-50k/mem32,8192,50000,32,0.0085,2.981144905090332,,19.710371017456055,,0.78125
17,849983,0.7291872501373291,smollm-135M-50k/mem32,8192,50000,32,0.009,2.959395170211792,,19.28630256652832,,0.7421875
18,899982,0.7150166034698486,smollm-135M-50k/mem32,8192,50000,32,0.0095,2.9295239448547363,,18.718717575073242,,0.71484375
19,949981,0.6991982460021973,smollm-135M-50k/mem32,8192,50000,32,0.01,2.9826080799102783,,19.73923110961914,,0.74609375
20,999980,0.8067045211791992,smollm-135M-50k/mem32,8192,50000,32,0.0105,2.942427635192871,,18.961822509765625,,0.7734375
21,1049979,0.9047603607177734,smollm-135M-50k/mem32,8192,50000,32,0.011,2.88720703125,,17.943124771118164,,1.046875
22,1099978,0.846851110458374,smollm-135M-50k/mem32,8192,50000,32,0.0115,2.908822774887085,,18.335201263427734,,0.9140625
23,1149977,0.8142054080963135,smollm-135M-50k/mem32,8192,50000,32,0.012,3.044552803039551,,21.00063705444336,,0.8046875
24,1199976,0.7257487773895264,smollm-135M-50k/mem32,8192,50000,32,0.0125,3.0804338455200195,,21.767845153808594,,0.83203125
25,1249975,0.8712890148162842,smollm-135M-50k/mem32,8192,50000,32,0.013,2.9119479656219482,,18.39259147644043,,0.9140625
26,1299974,0.8642206192016602,smollm-135M-50k/mem32,8192,50000,32,0.0135,2.797525405883789,,16.404003143310547,,0.84765625
27,1349973,0.7245500087738037,smollm-135M-50k/mem32,8192,50000,32,0.014,2.8546199798583984,,17.367835998535156,,0.76171875
28,1399972,0.7341558933258057,smollm-135M-50k/mem32,8192,50000,32,0.0145,3.028611421585083,,20.66851234436035,,0.75
29,1449971,0.7630631923675537,smollm-135M-50k/mem32,8192,50000,32,0.015,2.9624733924865723,,19.345762252807617,,0.77734375
30,1499970,0.7281539440155029,smollm-135M-50k/mem32,8192,50000,32,0.0155,2.9029312133789062,,18.227495193481445,,0.7578125
31,1549969,0.7230961322784424,smollm-135M-50k/mem32,8192,50000,32,0.016,2.84907865524292,,17.271862030029297,,0.71484375
32,1599968,0.7476902008056641,smollm-135M-50k/mem32,8192,50000,32,0.0165,2.621915340423584,,13.762057304382324,,0.7578125
33,1649967,0.9060206413269043,smollm-135M-50k/mem32,8192,50000,32,0.017,2.5918304920196533,,13.354193687438965,,0.8203125
34,1699966,0.9179384708404541,smollm-135M-50k/mem32,8192,50000,32,0.0175,2.8013079166412354,,16.466169357299805,,0.76953125
35,1749965,0.7558279037475586,smollm-135M-50k/mem32,8192,50000,32,0.018,2.835937261581421,,17.046369552612305,,0.76171875
36,1799964,0.7306592464447021,smollm-135M-50k/mem32,8192,50000,32,0.0185,2.847853899002075,,17.250720977783203,,0.7734375
37,1849963,0.725367546081543,smollm-135M-50k/mem32,8192,50000,32,0.019,2.9978723526000977,,20.0428466796875,,0.74609375
38,1899962,0.7653853893280029,smollm-135M-50k/mem32,8192,50000,32,0.0195,2.918562650680542,,18.51465606689453,,0.76171875
39,1949961,0.7312078475952148,smollm-135M-50k/mem32,8192,50000,32,0.02,2.77240252494812,,15.997020721435547,,0.76953125
40,1999960,0.7018146514892578,smollm-135M-50k/mem32,8192,50000,32,0.0205,2.7338361740112305,,15.391819953918457,,0.78125
41,2049959,0.7282500267028809,smollm-135M-50k/mem32,8192,50000,32,0.021,2.830348491668701,,16.951366424560547,,0.78515625
42,2099958,0.809889554977417,smollm-135M-50k/mem32,8192,50000,32,0.0215,3.007580518722534,,20.238374710083008,,0.8515625
43,2149957,0.8986313343048096,smollm-135M-50k/mem32,8192,50000,32,0.022,3.1612112522125244,,23.599163055419922,,1.1484375
44,2199956,0.7410306930541992,smollm-135M-50k/mem32,8192,50000,32,0.0225,2.9573538303375244,,19.246973037719727,,0.78125
45,2249955,0.6928443908691406,smollm-135M-50k/mem32,8192,50000,32,0.023,2.902080774307251,,18.21200180053711,,0.8046875
46,2299954,0.6888339519500732,smollm-135M-50k/mem32,8192,50000,32,0.0235,2.9603469371795654,,19.304668426513672,,0.7578125
47,2349953,0.7105894088745117,smollm-135M-50k/mem32,8192,50000,32,0.024,2.9033515453338623,,18.235158920288086,,0.74609375
48,2399952,0.7111456394195557,smollm-135M-50k/mem32,8192,50000,32,0.0245,2.851360559463501,,17.31131935119629,,0.765625
49,2449951,0.7076365947723389,smollm-135M-50k/mem32,8192,50000,32,0.025,2.825434923171997,,16.8682804107666,,0.7578125
50,2499950,46.740166902542114,smollm-135M-50k/mem32,8192,50000,32,0.0255,,3.1515625,,23.372554779052734,
50,2499950,47.61542725563049,smollm-135M-50k/mem32,8192,50000,32,0.0255,2.857314348220825,,17.41469383239746,,0.76953125
51,2549949,0.9632754325866699,smollm-135M-50k/mem32,8192,50000,32,0.026,2.9921159744262695,,19.927804946899414,,0.75
52,2599948,0.7501487731933594,smollm-135M-50k/mem32,8192,50000,32,0.0265,3.0048904418945312,,20.184003829956055,,0.796875
53,2649947,0.9435946941375732,smollm-135M-50k/mem32,8192,50000,32,0.027,2.897299289703369,,18.1251277923584,,1.125
54,2699946,0.9118223190307617,smollm-135M-50k/mem32,8192,50000,32,0.0275,2.918384313583374,,18.511354446411133,,0.94921875
55,2749945,0.864997386932373,smollm-135M-50k/mem32,8192,50000,32,0.028,2.8186120986938477,,16.753582000732422,,0.7578125
56,2799944,0.884227991104126,smollm-135M-50k/mem32,8192,50000,32,0.0285,2.773592948913574,,16.016075134277344,,0.73828125
57,2849943,0.8021819591522217,smollm-135M-50k/mem32,8192,50000,32,0.029,2.863359212875366,,17.520282745361328,,0.76171875
58,2899942,0.7294385433197021,smollm-135M-50k/mem32,8192,50000,32,0.0295,2.8870320320129395,,17.939985275268555,,0.75
59,2949941,0.6927931308746338,smollm-135M-50k/mem32,8192,50000,32,0.03,2.9199891090393066,,18.541086196899414,,0.72265625
60,2999940,0.7613954544067383,smollm-135M-50k/mem32,8192,50000,32,0.0305,2.871840238571167,,17.669504165649414,,0.7421875
61,3049939,0.8119733333587646,smollm-135M-50k/mem32,8192,50000,32,0.031,2.859010934829712,,17.444265365600586,,0.82421875
62,3099938,0.8226017951965332,smollm-135M-50k/mem32,8192,50000,32,0.0315,2.831300973892212,,16.96752166748047,,0.77734375
63,3149937,0.7269480228424072,smollm-135M-50k/mem32,8192,50000,32,0.032,2.751249313354492,,15.662186622619629,,0.71875
64,3199936,0.7957077026367188,smollm-135M-50k/mem32,8192,50000,32,0.0325,2.8070857524871826,,16.561582565307617,,0.75390625
65,3249935,0.8583886623382568,smollm-135M-50k/mem32,8192,50000,32,0.033,2.903640031814575,,18.240421295166016,,0.828125
66,3299934,0.71710205078125,smollm-135M-50k/mem32,8192,50000,32,0.0335,2.883671760559082,,17.879802703857422,,0.7265625
67,3349933,0.7524304389953613,smollm-135M-50k/mem32,8192,50000,32,0.034,3.0382068157196045,,20.86779022216797,,0.7734375
68,3399932,0.6898579597473145,smollm-135M-50k/mem32,8192,50000,32,0.0345,3.094367504119873,,22.073272705078125,,0.75
69,3449931,0.7424666881561279,smollm-135M-50k/mem32,8192,50000,32,0.035,3.0312750339508057,,20.7236385345459,,0.74609375
70,3499930,0.7504243850708008,smollm-135M-50k/mem32,8192,50000,32,0.0355,2.9633824825286865,,19.363357543945312,,0.8046875
71,3549929,0.7165350914001465,smollm-135M-50k/mem32,8192,50000,32,0.036,2.95786190032959,,19.25675392150879,,0.80078125
72,3599928,0.8470070362091064,smollm-135M-50k/mem32,8192,50000,32,0.0365,2.946165084838867,,19.03282356262207,,0.7890625
73,3649927,0.7306928634643555,smollm-135M-50k/mem32,8192,50000,32,0.037,2.83450984954834,,17.02205467224121,,0.71484375
74,3699926,0.7146382331848145,smollm-135M-50k/mem32,8192,50000,32,0.0375,2.857666492462158,,17.420827865600586,,0.734375
75,3749925,0.7178940773010254,smollm-135M-50k/mem32,8192,50000,32,0.038,2.9020395278930664,,18.21125030517578,,0.7890625
76,3799924,0.7901794910430908,smollm-135M-50k/mem32,8192,50000,32,0.0385,2.9544296264648438,,19.190773010253906,,0.84765625
77,3849923,0.7749989032745361,smollm-135M-50k/mem32,8192,50000,32,0.039,2.942735433578491,,18.967660903930664,,0.7890625
78,3899922,0.7749223709106445,smollm-135M-50k/mem32,8192,50000,32,0.0395,2.8800933361053467,,17.815935134887695,,0.77734375
79,3949921,0.8341846466064453,smollm-135M-50k/mem32,8192,50000,32,0.04,2.9267144203186035,,18.666200637817383,,0.84375
80,3999920,0.8149335384368896,smollm-135M-50k/mem32,8192,50000,32,0.0405,3.0183703899383545,,20.45792579650879,,0.75390625
81,4049919,0.7930507659912109,smollm-135M-50k/mem32,8192,50000,32,0.041,3.0276565551757812,,20.648786544799805,,0.75390625
82,4099918,0.860532283782959,smollm-135M-50k/mem32,8192,50000,32,0.0415,2.9699831008911133,,19.49159049987793,,0.796875
83,4149917,0.7899973392486572,smollm-135M-50k/mem32,8192,50000,32,0.042,2.8182992935180664,,16.748342514038086,,0.74609375
84,4199916,0.819526195526123,smollm-135M-50k/mem32,8192,50000,32,0.0425,2.8087687492370605,,16.589479446411133,,0.76953125
85,4249915,0.7771649360656738,smollm-135M-50k/mem32,8192,50000,32,0.043,2.827556848526001,,16.904111862182617,,0.78515625
86,4299914,0.7135381698608398,smollm-135M-50k/mem32,8192,50000,32,0.0435,2.8889243602752686,,17.97396469116211,,0.76171875
87,4349913,0.7337520122528076,smollm-135M-50k/mem32,8192,50000,32,0.044,2.929264783859253,,18.7138671875,,0.71484375
88,4399912,0.753077507019043,smollm-135M-50k/mem32,8192,50000,32,0.0445,2.850262403488159,,17.29231834411621,,0.7421875
89,4449911,0.7193269729614258,smollm-135M-50k/mem32,8192,50000,32,0.045,2.875690221786499,,17.73766326904297,,0.80859375
90,4499910,0.8515596389770508,smollm-135M-50k/mem32,8192,50000,32,0.0455,2.987175941467285,,19.82960319519043,,0.85546875
91,4549909,0.8465075492858887,smollm-135M-50k/mem32,8192,50000,32,0.046,3.0452933311462402,,21.01619529724121,,0.81640625
92,4599908,0.7191107273101807,smollm-135M-50k/mem32,8192,50000,32,0.0465,3.0289056301116943,,20.67459487915039,,0.76171875
93,4649907,0.7202527523040771,smollm-135M-50k/mem32,8192,50000,32,0.047,3.023038625717163,,20.553651809692383,,0.84375
94,4699906,0.7282648086547852,smollm-135M-50k/mem32,8192,50000,32,0.0475,3.0618791580200195,,21.367671966552734,,0.86328125
95,4749905,1.0066697597503662,smollm-135M-50k/mem32,8192,50000,32,0.048,4.048826694488525,,57.33015060424805,,4.40625
96,4799904,0.853935718536377,smollm-135M-50k/mem32,8192,50000,32,0.0485,3.480801582336426,,32.48575210571289,,2.8125
97,4849903,0.6855380535125732,smollm-135M-50k/mem32,8192,50000,32,0.049,2.8747291564941406,,17.720623016357422,,0.71484375
98,4899902,0.7246620655059814,smollm-135M-50k/mem32,8192,50000,32,0.0495,2.952446937561035,,19.152761459350586,,0.7421875
99,4949901,0.7232236862182617,smollm-135M-50k/mem32,8192,50000,32,0.05,2.8939716815948486,,18.06491470336914,,0.7265625
100,4999900,4.510858774185181,smollm-135M-50k/mem32,8192,50000,32,0.0505,,3.1484375,,23.299631118774414,
100,4999900,5.317312240600586,smollm-135M-50k/mem32,8192,50000,32,0.0505,2.832711696624756,,16.991474151611328,,0.71484375
101,5049899,0.7418045997619629,smollm-135M-50k/mem32,8192,50000,32,0.051,2.818103313446045,,16.745059967041016,,0.7421875
102,5099898,0.8893122673034668,smollm-135M-50k/mem32,8192,50000,32,0.0515,3.018723487854004,,20.465150833129883,,0.796875
103,5149897,0.8668696880340576,smollm-135M-50k/mem32,8192,50000,32,0.052,3.0795135498046875,,21.747819900512695,,0.76171875
104,5199896,0.8283383846282959,smollm-135M-50k/mem32,8192,50000,32,0.0525,2.8596296310424805,,17.455060958862305,,0.7578125
105,5249895,0.7340834140777588,smollm-135M-50k/mem32,8192,50000,32,0.053,2.8825042247772217,,17.85894012451172,,0.95703125
106,5299894,0.7052264213562012,smollm-135M-50k/mem32,8192,50000,32,0.0535,2.9330427646636963,,18.784700393676758,,0.74609375
107,5349893,0.781663179397583,smollm-135M-50k/mem32,8192,50000,32,0.054,2.8567090034484863,,17.404155731201172,,0.72265625
108,5399892,0.8143124580383301,smollm-135M-50k/mem32,8192,50000,32,0.0545,2.775569200515747,,16.047758102416992,,0.7578125
109,5449891,0.783848762512207,smollm-135M-50k/mem32,8192,50000,32,0.055,2.841942071914673,,17.149038314819336,,0.7734375
110,5499890,0.7284140586853027,smollm-135M-50k/mem32,8192,50000,32,0.0555,2.83288311958313,,16.994386672973633,,0.734375
111,5549889,0.7061076164245605,smollm-135M-50k/mem32,8192,50000,32,0.056,2.8051095008850098,,16.528884887695312,,0.70703125
112,5599888,0.6993696689605713,smollm-135M-50k/mem32,8192,50000,32,0.0565,2.8131487369537354,,16.66230010986328,,0.703125
113,5649887,0.7104213237762451,smollm-135M-50k/mem32,8192,50000,32,0.057,2.727904796600342,,15.300795555114746,,0.90234375
114,5699886,0.714597225189209,smollm-135M-50k/mem32,8192,50000,32,0.0575,3.0254101753234863,,20.602453231811523,,0.75
115,5749885,0.7117114067077637,smollm-135M-50k/mem32,8192,50000,32,0.058,3.0738954544067383,,21.6259822845459,,0.77734375
116,5799884,0.6961634159088135,smollm-135M-50k/mem32,8192,50000,32,0.0585,2.7509305477142334,,15.657195091247559,,0.70703125
117,5849883,0.8500242233276367,smollm-135M-50k/mem32,8192,50000,32,0.059,2.7112820148468018,,15.048555374145508,,0.7265625
118,5899882,0.8855481147766113,smollm-135M-50k/mem32,8192,50000,32,0.0595,3.0110714435577393,,20.30914878845215,,0.82421875
119,5949881,0.8091976642608643,smollm-135M-50k/mem32,8192,50000,32,0.06,3.107943296432495,,22.37497901916504,,0.8125
120,5999880,0.7106666564941406,smollm-135M-50k/mem32,8192,50000,32,0.0605,2.9123945236206055,,18.400806427001953,,0.7421875
121,6049879,0.7169995307922363,smollm-135M-50k/mem32,8192,50000,32,0.061,2.9048280715942383,,18.262104034423828,,0.734375
122,6099878,0.7704639434814453,smollm-135M-50k/mem32,8192,50000,32,0.0615,2.938589096069336,,18.889177322387695,,0.73828125
123,6149877,0.7426857948303223,smollm-135M-50k/mem32,8192,50000,32,0.062,2.94636869430542,,19.036699295043945,,0.7109375
124,6199876,0.7064700126647949,smollm-135M-50k/mem32,8192,50000,32,0.0625,2.87443470954895,,17.71540641784668,,0.75390625
125,6249875,0.8512537479400635,smollm-135M-50k/mem32,8192,50000,32,0.063,2.8724563121795654,,17.68039321899414,,1.359375
126,6299874,0.9395289421081543,smollm-135M-50k/mem32,8192,50000,32,0.0635,3.336904287338257,,28.13190269470215,,6.53125
127,6349873,0.736034631729126,smollm-135M-50k/mem32,8192,50000,32,0.064,3.0571491718292236,,21.266841888427734,,0.73046875
128,6399872,0.7073273658752441,smollm-135M-50k/mem32,8192,50000,32,0.0645,3.0682692527770996,,21.50465202331543,,0.7734375
129,6449871,0.7005035877227783,smollm-135M-50k/mem32,8192,50000,32,0.065,3.1006979942321777,,22.213451385498047,,0.77734375
130,6499870,0.8519256114959717,smollm-135M-50k/mem32,8192,50000,32,0.0655,2.9823412895202637,,19.733964920043945,,0.7734375
131,6549869,0.9606513977050781,smollm-135M-50k/mem32,8192,50000,32,0.066,3.3082711696624756,,27.33782196044922,,4.1875
132,6599868,0.7441818714141846,smollm-135M-50k/mem32,8192,50000,32,0.0665,2.767878770828247,,15.92481803894043,,0.7265625
133,6649867,0.824622392654419,smollm-135M-50k/mem32,8192,50000,32,0.067,2.863875389099121,,17.529329299926758,,0.7734375
134,6699866,0.8453009128570557,smollm-135M-50k/mem32,8192,50000,32,0.0675,2.859071969985962,,17.445329666137695,,0.77734375
135,6749865,0.7787632942199707,smollm-135M-50k/mem32,8192,50000,32,0.068,2.8757643699645996,,17.738977432250977,,0.7265625
136,6799864,0.7250301837921143,smollm-135M-50k/mem32,8192,50000,32,0.0685,2.9019980430603027,,18.210494995117188,,0.76171875
137,6849863,0.7331137657165527,smollm-135M-50k/mem32,8192,50000,32,0.069,2.8317532539367676,,16.975196838378906,,0.7734375
138,6899862,0.7233624458312988,smollm-135M-50k/mem32,8192,50000,32,0.0695,2.855280876159668,,17.379318237304688,,0.77734375
139,6949861,0.7344353199005127,smollm-135M-50k/mem32,8192,50000,32,0.07,2.8663272857666016,,17.57236099243164,,0.77734375
140,6999860,0.8286540508270264,smollm-135M-50k/mem32,8192,50000,32,0.0705,2.6972999572753906,,14.83961009979248,,0.78125
141,7049859,0.8145372867584229,smollm-135M-50k/mem32,8192,50000,32,0.071,2.766568422317505,,15.90396499633789,,0.76953125
142,7099858,0.6941258907318115,smollm-135M-50k/mem32,8192,50000,32,0.0715,2.9296205043792725,,18.72052574157715,,0.76953125
143,7149857,0.700314998626709,smollm-135M-50k/mem32,8192,50000,32,0.072,3.0807666778564453,,21.77509117126465,,0.79296875
144,7199856,0.8079016208648682,smollm-135M-50k/mem32,8192,50000,32,0.0725,3.0447752475738525,,21.00531005859375,,0.79296875
145,7249855,0.9066472053527832,smollm-135M-50k/mem32,8192,50000,32,0.073,3.062910556793213,,21.38972282409668,,1.2265625
146,7299854,0.7495591640472412,smollm-135M-50k/mem32,8192,50000,32,0.0735,2.928173303604126,,18.693452835083008,,0.68359375
147,7349853,0.7066700458526611,smollm-135M-50k/mem32,8192,50000,32,0.074,2.9213693141937256,,18.566694259643555,,0.7265625
148,7399852,0.6999835968017578,smollm-135M-50k/mem32,8192,50000,32,0.0745,2.8975870609283447,,18.13034439086914,,0.734375
149,7449851,0.714726448059082,smollm-135M-50k/mem32,8192,50000,32,0.075,2.7874505519866943,,16.239564895629883,,0.7265625
150,7499850,4.506482839584351,smollm-135M-50k/mem32,8192,50000,32,0.0755,,3.14375,,23.1906681060791,
150,7499850,5.301721096038818,smollm-135M-50k/mem32,8192,50000,32,0.0755,2.854867696762085,,17.37213897705078,,0.70703125
151,7549849,0.7223033905029297,smollm-135M-50k/mem32,8192,50000,32,0.076,2.9027717113494873,,18.22458839416504,,0.69921875
152,7599848,0.8709518909454346,smollm-135M-50k/mem32,8192,50000,32,0.0765,2.76141095161438,,15.822151184082031,,0.77734375
153,7649847,0.8611459732055664,smollm-135M-50k/mem32,8192,50000,32,0.077,2.783651828765869,,16.17799186706543,,0.73828125
154,7699846,0.7159550189971924,smollm-135M-50k/mem32,8192,50000,32,0.0775,2.8302319049835205,,16.949390411376953,,0.66796875
155,7749845,0.7085483074188232,smollm-135M-50k/mem32,8192,50000,32,0.078,2.867219924926758,,17.588054656982422,,0.6953125
156,7799844,0.7595174312591553,smollm-135M-50k/mem32,8192,50000,32,0.0785,2.9619014263153076,,19.334699630737305,,0.71875
157,7849843,0.8542013168334961,smollm-135M-50k/mem32,8192,50000,32,0.079,2.8852038383483887,,17.907217025756836,,0.75
158,7899842,0.9157047271728516,smollm-135M-50k/mem32,8192,50000,32,0.0795,2.840625762939453,,17.126480102539062,,0.84765625
159,7949841,0.7222840785980225,smollm-135M-50k/mem32,8192,50000,32,0.08,2.939256191253662,,18.90178108215332,,0.73828125
