step,seen_tokens,time_delta_s,run_name,local_window,global_window,mem_freq,lr_mult,train_loss,val_loss,train_perplexity,val_perplexity
1,49999,154.48296475410461,smollm/baseline,8192,8192,128,0.002,2.8871943950653076,,17.94289779663086,
2,99998,0.9353115558624268,smollm/baseline,8192,8192,128,0.003,2.7806036472320557,,16.128753662109375,
3,149997,0.9285910129547119,smollm/baseline,8192,8192,128,0.004,2.7874398231506348,,16.239391326904297,
4,199996,0.9062685966491699,smollm/baseline,8192,8192,128,0.005,2.8680989742279053,,17.6035213470459,
5,249995,0.8902173042297363,smollm/baseline,8192,8192,128,0.006,2.9083077907562256,,18.325761795043945,
6,299994,0.9323949813842773,smollm/baseline,8192,8192,128,0.007,2.825373411178589,,16.86724281311035,
7,349993,0.9543616771697998,smollm/baseline,8192,8192,128,0.008,3.041649580001831,,20.939756393432617,
8,399992,1.018787145614624,smollm/baseline,8192,8192,128,0.009,2.9893758296966553,,19.873273849487305,
9,449991,0.9022009372711182,smollm/baseline,8192,8192,128,0.01,2.741908073425293,,15.516563415527344,
10,499990,0.9700520038604736,smollm/baseline,8192,8192,128,0.011,2.97078275680542,,19.507183074951172,
11,549989,0.9672324657440186,smollm/baseline,8192,8192,128,0.012,2.904621124267578,,18.258325576782227,
12,599988,1.171888828277588,smollm/baseline,8192,8192,128,0.013,2.7147879600524902,,15.101408004760742,
13,649987,1.06880784034729,smollm/baseline,8192,8192,128,0.014,2.694948673248291,,14.80475902557373,
14,699986,0.9424047470092773,smollm/baseline,8192,8192,128,0.015,2.8657891750335693,,17.562908172607422,
15,749985,0.8895449638366699,smollm/baseline,8192,8192,128,0.016,2.945969343185425,,19.029098510742188,
16,799984,0.9126367568969727,smollm/baseline,8192,8192,128,0.017,2.9489076137542725,,19.085094451904297,
17,849983,0.9241080284118652,smollm/baseline,8192,8192,128,0.018,2.931459665298462,,18.754985809326172,
18,899982,0.9125440120697021,smollm/baseline,8192,8192,128,0.019,2.900602340698242,,18.185094833374023,
19,949981,0.9112234115600586,smollm/baseline,8192,8192,128,0.02,2.9503040313720703,,19.11176300048828,
20,999980,0.9482605457305908,smollm/baseline,8192,8192,128,0.021,2.912172555923462,,18.3967227935791,
21,1049979,1.0684995651245117,smollm/baseline,8192,8192,128,0.022,2.8691177368164062,,17.621463775634766,
