step,seen_tokens,time_delta_s,run_name,lr_mult,train_loss,val_loss
50,3199950,132.86489152908325,window_147M_4096_b64k_s30k,0.051,3.5386029411764706,
100,6399900,23.663914918899536,window_147M_4096_b64k_s30k,0.101,2.8515625,
150,9599850,23.648823499679565,window_147M_4096_b64k_s30k,0.151,2.515,
200,12799800,24.11830425262451,window_147M_4096_b64k_s30k,0.201,2.240625,
250,15999750,23.922061443328857,window_147M_4096_b64k_s30k,0.251,2.01734375,
300,19199700,23.761991262435913,window_147M_4096_b64k_s30k,0.301,1.849375,
350,22399650,24.062002897262573,window_147M_4096_b64k_s30k,0.351,1.76484375,
400,25599600,23.749560832977295,window_147M_4096_b64k_s30k,0.401,1.661875,
450,28799550,23.88763403892517,window_147M_4096_b64k_s30k,0.451,1.610625,
500,31999500,44.2303421497345,window_147M_4096_b64k_s30k,0.501,,1.594921875
500,31999500,68.68683314323425,window_147M_4096_b64k_s30k,0.501,1.59921875,
550,35199450,24.234801292419434,window_147M_4096_b64k_s30k,0.551,1.5653125,
600,38399400,24.257123470306396,window_147M_4096_b64k_s30k,0.601,1.5590625,
650,41599350,24.22040367126465,window_147M_4096_b64k_s30k,0.651,1.55359375,
700,44799300,23.86958622932434,window_147M_4096_b64k_s30k,0.701,1.49703125,
750,47999250,23.96293544769287,window_147M_4096_b64k_s30k,0.751,1.47015625,
800,51199200,23.717571020126343,window_147M_4096_b64k_s30k,0.801,1.45859375,
850,54399150,24.281625986099243,window_147M_4096_b64k_s30k,0.851,1.44125,
900,57599100,23.409178018569946,window_147M_4096_b64k_s30k,0.901,1.41,
950,60799050,23.380783796310425,window_147M_4096_b64k_s30k,0.951,1.40890625,
1000,63999000,16.954436540603638,window_147M_4096_b64k_s30k,1.0,,1.367109375
1000,63999000,40.89943051338196,window_147M_4096_b64k_s30k,1.0,1.42234375,
1050,67198950,24.51867651939392,window_147M_4096_b64k_s30k,1.0,1.4071875,
1100,70398900,24.653836965560913,window_147M_4096_b64k_s30k,1.0,1.383125,
1150,73598850,24.07122278213501,window_147M_4096_b64k_s30k,1.0,1.36125,
1200,76798800,23.88797664642334,window_147M_4096_b64k_s30k,1.0,1.34671875,
1250,79998750,24.13870334625244,window_147M_4096_b64k_s30k,1.0,1.289375,
1300,83198700,23.931862831115723,window_147M_4096_b64k_s30k,1.0,1.26515625,
1350,86398650,24.00667691230774,window_147M_4096_b64k_s30k,1.0,1.24390625,
1400,89598600,24.28292965888977,window_147M_4096_b64k_s30k,1.0,1.23578125,
1450,92798550,23.717262506484985,window_147M_4096_b64k_s30k,1.0,1.18828125,
1500,95998500,17.036448001861572,window_147M_4096_b64k_s30k,1.0,,1.170078125
1500,95998500,41.37350845336914,window_147M_4096_b64k_s30k,1.0,1.1853125,
1550,99198450,23.634515523910522,window_147M_4096_b64k_s30k,1.0,1.149375,
1600,102398400,24.21484875679016,window_147M_4096_b64k_s30k,1.0,1.15765625,
1650,105598350,24.177730798721313,window_147M_4096_b64k_s30k,1.0,1.14578125,
1700,108798300,23.908201217651367,window_147M_4096_b64k_s30k,1.0,1.13625,
1750,111998250,23.73205327987671,window_147M_4096_b64k_s30k,1.0,1.124375,
1800,115198200,24.262375354766846,window_147M_4096_b64k_s30k,1.0,1.124140625,
1850,118398150,24.088345527648926,window_147M_4096_b64k_s30k,1.0,1.114375,
1900,121598100,24.200138092041016,window_147M_4096_b64k_s30k,1.0,1.1246875,
1950,124798050,24.059563159942627,window_147M_4096_b64k_s30k,1.0,1.097578125,
2000,127998000,16.911378860473633,window_147M_4096_b64k_s30k,1.0,,1.0815625
2000,127998000,41.132997274398804,window_147M_4096_b64k_s30k,1.0,1.10875,
2050,131197950,24.128315687179565,window_147M_4096_b64k_s30k,1.0,1.08140625,
2100,134397900,23.611645460128784,window_147M_4096_b64k_s30k,1.0,1.09296875,
2150,137597850,23.90411925315857,window_147M_4096_b64k_s30k,1.0,1.089609375,
2200,140797800,24.20995593070984,window_147M_4096_b64k_s30k,1.0,1.066640625,
2250,143997750,24.259955883026123,window_147M_4096_b64k_s30k,1.0,1.074765625,
2300,147197700,23.974032402038574,window_147M_4096_b64k_s30k,1.0,1.062109375,
2350,150397650,24.620917081832886,window_147M_4096_b64k_s30k,1.0,1.055625,
2400,153597600,24.058140516281128,window_147M_4096_b64k_s30k,1.0,1.049921875,
2450,156797550,23.788769960403442,window_147M_4096_b64k_s30k,1.0,1.045234375,
2500,159997500,17.066900968551636,window_147M_4096_b64k_s30k,1.0,,1.0491015625
2500,159997500,41.10775566101074,window_147M_4096_b64k_s30k,1.0,1.040703125,
2550,163197450,24.290804147720337,window_147M_4096_b64k_s30k,1.0,1.0709375,
2600,166397400,23.72181510925293,window_147M_4096_b64k_s30k,1.0,1.05296875,
2650,169597350,23.866352558135986,window_147M_4096_b64k_s30k,1.0,1.05546875,
2700,172797300,24.45788812637329,window_147M_4096_b64k_s30k,1.0,1.063984375,
2750,175997250,24.071897506713867,window_147M_4096_b64k_s30k,1.0,1.043046875,
2800,179197200,24.52743911743164,window_147M_4096_b64k_s30k,1.0,1.047421875,
2850,182397150,24.09056520462036,window_147M_4096_b64k_s30k,1.0,1.058046875,
2900,185597100,24.016528129577637,window_147M_4096_b64k_s30k,1.0,1.037734375,
2950,188797050,23.942904233932495,window_147M_4096_b64k_s30k,1.0,1.02765625,
3000,191997000,16.97495412826538,window_147M_4096_b64k_s30k,1.0,,1.025703125
3000,191997000,41.46204233169556,window_147M_4096_b64k_s30k,1.0,1.0378125,
3050,195196950,24.035440683364868,window_147M_4096_b64k_s30k,1.0,1.03375,
3100,198396900,23.256703853607178,window_147M_4096_b64k_s30k,1.0,1.02375,
3150,201596850,24.485138654708862,window_147M_4096_b64k_s30k,1.0,1.01578125,
3200,204796800,23.747864246368408,window_147M_4096_b64k_s30k,1.0,1.027734375,
3250,207996750,23.774163961410522,window_147M_4096_b64k_s30k,1.0,1.016015625,
3300,211196700,24.081372499465942,window_147M_4096_b64k_s30k,1.0,0.996171875,
